,Team,Link,Age,AbroadPlayers,Value,Difference,Year,Country,stadium_capacity,stadium_name,squad_size,top_arrival,top_departure,income_value,expenditure_values,overall_balance
44,NK Lokomotiva,/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2015,"21,0",7,€11.03m,€251k,2015,Croatia,8.850 Seats,Kranjceviceva,44,€65k,Free transfer,0,€130k,€-130k
45,NK Istra,/nk-istra-1961/startseite/verein/999/saison_id/2015,"23,7",18,€10.35m,€252k,2015,Croatia,9.056 Seats,Aldo Drosina,41,Free transfer,Free transfer,0,0,0
46,Slaven Belupo,/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2015,"23,7",6,€9.40m,€285k,2015,Croatia,5.000 Seats,Gradski Stadion Ivan Kusek Apas,33,Free transfer,€400k,€750k,0,+€750k
47,NK Osijek,/nk-osijek/startseite/verein/327/saison_id/2015,"22,7",4,€6.78m,€178k,2015,Croatia,18.856 Seats,Gradski vrt,38,Free transfer,€150k,€150k,0,+€150k
48,Partizan,/fk-partizan-belgrad/startseite/verein/669/saison_id/2010,"23,5",9,€32.28m,€872k,2010,Serbia,32.710 Seats,Partizan Stadion,37,€300k,€4.00m,€8.43m,€330k,+€8.10m
49,Red Star,/roter-stern-belgrad/startseite/verein/159/saison_id/2010,"22,9",9,€25.35m,€768k,2010,Serbia,51.755 Seats,Rajko Mitić Stadium,33,€770k,€2.47m,€4.66m,€2.46m,+€2.20m
50,Vojvodina,/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2010,"21,2",12,€19.00m,€543k,2010,Serbia,14.852 Seats,Stadion Karadjordje,35,Free transfer,€1.10m,€1.70m,0,+€1.70m
51,OFK Beograd,/ofk-belgrad/startseite/verein/53/saison_id/2010,"21,9",6,€11.60m,€322k,2010,Serbia,19.000 Seats,Omladinski Stadion,36,€200k,€650k,€750k,€200k,+€550k
52,Jagodina,/fk-jagodina/startseite/verein/12132/saison_id/2010,"24,2",6,€11.28m,€282k,2010,Serbia,15.000 Seats,Gradski Stadion,40,Free transfer,€150k,€268k,0,+€268k
53,Rad,/fk-rad-belgrad/startseite/verein/902/saison_id/2010,"20,9",4,€9.70m,€285k,2010,Serbia,6.000 Seats,Stadion Kralj Petar Prvi,35,€50k,€1.20m,€3.37m,€50k,+€3.32m
54,Spartak,/fk-spartak-subotica/startseite/verein/15276/saison_id/2010,"22,6",6,€8.25m,€258k,2010,Serbia,13.020 Seats,Gradski Stadion Subotica,32,€100k,€600k,€900k,€160k,+€740k
55,Red Star,/roter-stern-belgrad/startseite/verein/159/saison_id/2011,"22,1",12,€28.88m,€722k,2011,Serbia,51.755 Seats,Rajko Mitić Stadium,40,€708k,€1.74m,€6.55m,€3.07m,+€3.47m
56,Vojvodina,/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2011,"22,2",15,€22.75m,€615k,2011,Serbia,14.852 Seats,Stadion Karadjordje,37,€200k,€2.00m,€5.20m,€200k,+€5.00m
57,Partizan,/fk-partizan-belgrad/startseite/verein/669/saison_id/2011,"23,8",8,€22.68m,€756k,2011,Serbia,32.710 Seats,Partizan Stadion,32,€1.20m,€12.00m,€22.35m,€3.29m,+€19.06m
58,Rad,/fk-rad-belgrad/startseite/verein/902/saison_id/2011,"21,2",4,€11.43m,€309k,2011,Serbia,6.000 Seats,Stadion Kralj Petar Prvi,38,€177k,€708k,€1.41m,€187k,+€1.22m
59,OFK Beograd,/ofk-belgrad/startseite/verein/53/saison_id/2011,"21,4",11,€11.20m,€260k,2011,Serbia,19.000 Seats,Omladinski Stadion,43,Free transfer,€500k,€800k,0,+€800k
60,Spartak,/fk-spartak-subotica/startseite/verein/15276/saison_id/2011,"22,1",2,€8.70m,€281k,2011,Serbia,13.020 Seats,Gradski Stadion Subotica,32,Free transfer,€153k,€353k,0,+€353k
61,Jagodina,/fk-jagodina/startseite/verein/12132/saison_id/2011,"22,7",7,€7.38m,€194k,2011,Serbia,15.000 Seats,Gradski Stadion,38,€100k,Free transfer,0,€110k,€-110k
62,Partizan,/fk-partizan-belgrad/startseite/verein/669/saison_id/2012,"22,7",8,€33.60m,€862k,2012,Serbia,32.710 Seats,Partizan Stadion,40,€300k,€2.00m,€3.50m,€850k,+€2.65m
63,Red Star,/roter-stern-belgrad/startseite/verein/159/saison_id/2012,"21,1",11,€26.50m,€679k,2012,Serbia,51.755 Seats,Rajko Mitić Stadium,45,€425k,€600k,€600k,€1.03m,€-427k
64,Vojvodina,/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2012,"22,7",15,€19.30m,€522k,2012,Serbia,14.852 Seats,Stadion Karadjordje,37,Free transfer,€1.50m,€2.15m,0,+€2.15m
65,OFK Beograd,/ofk-belgrad/startseite/verein/53/saison_id/2012,"21,0",13,€11.10m,€258k,2012,Serbia,19.000 Seats,Omladinski Stadion,46,Free transfer,€1.50m,€2.00m,0,+€2.00m
66,Rad,/fk-rad-belgrad/startseite/verein/902/saison_id/2012,"20,1",3,€10.40m,€248k,2012,Serbia,6.000 Seats,Stadion Kralj Petar Prvi,43,Free transfer,€1.20m,€3.02m,0,+€3.02m
67,Jagodina,/fk-jagodina/startseite/verein/12132/saison_id/2012,"24,4",9,€9.15m,€247k,2012,Serbia,15.000 Seats,Gradski Stadion,40,Free transfer,€235k,€235k,0,+€235k
68,Spartak,/fk-spartak-subotica/startseite/verein/15276/saison_id/2012,"23,0",3,€8.45m,€313k,2012,Serbia,13.020 Seats,Gradski Stadion Subotica,28,Free transfer,Free transfer,0,0,0
69,Partizan,/fk-partizan-belgrad/startseite/verein/669/saison_id/2013,"23,0",8,€34.85m,€792k,2013,Serbia,32.710 Seats,Partizan Stadion,44,€200k,€10.00m,€21.80m,€200k,+€21.60m
70,Red Star,/roter-stern-belgrad/startseite/verein/159/saison_id/2013,"23,3",10,€28.45m,€749k,2013,Serbia,51.755 Seats,Rajko Mitić Stadium,41,€200k,€2.70m,€6.51m,€901k,+€5.60m
71,Vojvodina,/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2013,"21,9",16,€17.68m,€347k,2013,Serbia,14.852 Seats,Stadion Karadjordje,52,Free transfer,€200k,€520k,0,+€520k
72,Rad,/fk-rad-belgrad/startseite/verein/902/saison_id/2013,"21,4",9,€12.90m,€258k,2013,Serbia,6.000 Seats,Stadion Kralj Petar Prvi,50,Free transfer,€500k,€500k,0,+€500k
73,OFK Beograd,/ofk-belgrad/startseite/verein/53/saison_id/2013,"21,8",8,€10.28m,€214k,2013,Serbia,19.000 Seats,Omladinski Stadion,48,Free transfer,€1.00m,€1.20m,0,+€1.20m
74,Jagodina,/fk-jagodina/startseite/verein/12132/saison_id/2013,"23,7",10,€10.05m,€258k,2013,Serbia,15.000 Seats,Gradski Stadion,39,Free transfer,€750k,€950k,0,+€950k
75,Spartak,/fk-spartak-subotica/startseite/verein/15276/saison_id/2013,"22,3",6,€7.65m,€207k,2013,Serbia,13.020 Seats,Gradski Stadion Subotica,38,€80k,€360k,€440k,€80k,+€360k
76,Partizan,/fk-partizan-belgrad/startseite/verein/669/saison_id/2014,"23,3",8,€24.70m,€633k,2014,Serbia,32.710 Seats,Partizan Stadion,39,Free transfer,€3.20m,€4.20m,0,+€4.20m
77,Red Star,/roter-stern-belgrad/startseite/verein/159/saison_id/2014,"23,3",7,€19.95m,€525k,2014,Serbia,51.755 Seats,Rajko Mitić Stadium,38,€250k,€2.50m,€3.00m,€600k,+€2.40m
78,Jagodina,/fk-jagodina/startseite/verein/12132/saison_id/2014,"22,9",9,€9.10m,€228k,2014,Serbia,15.000 Seats,Gradski Stadion,40,Free transfer,€800k,€800k,0,+€800k
79,OFK Beograd,/ofk-belgrad/startseite/verein/53/saison_id/2014,"20,3",7,€8.60m,€195k,2014,Serbia,19.000 Seats,Omladinski Stadion,44,Free transfer,€1.50m,€1.90m,0,+€1.90m
80,Vojvodina,/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2014,"21,9",8,€8.15m,€220k,2014,Serbia,14.852 Seats,Stadion Karadjordje,37,Free transfer,€1.75m,€4.35m,0,+€4.35m
81,Rad,/fk-rad-belgrad/startseite/verein/902/saison_id/2014,"22,4",7,€7.35m,€216k,2014,Serbia,6.000 Seats,Stadion Kralj Petar Prvi,35,Free transfer,Free transfer,0,0,0
82,Spartak,/fk-spartak-subotica/startseite/verein/15276/saison_id/2014,"21,7",3,€5.35m,€162k,2014,Serbia,13.020 Seats,Gradski Stadion Subotica,33,Free transfer,Free transfer,0,0,0
83,Partizan,/fk-partizan-belgrad/startseite/verein/669/saison_id/2015,"23,0",12,€26.50m,€589k,2015,Serbia,32.710 Seats,Partizan Stadion,45,€450k,€3.00m,€5.47m,€870k,+€4.60m
84,Red Star,/roter-stern-belgrad/startseite/verein/159/saison_id/2015,"24,2",15,€25.43m,€687k,2015,Serbia,51.755 Seats,Rajko Mitić Stadium,37,€1.00m,€7.00m,€15.75m,€2.40m,+€13.35m
85,Vojvodina,/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2015,"23,6",7,€12.85m,€313k,2015,Serbia,14.852 Seats,Stadion Karadjordje,41,Free transfer,€1.25m,€3.39m,0,+€3.39m
86,OFK Beograd,/ofk-belgrad/startseite/verein/53/saison_id/2015,"22,2",11,€10.60m,€204k,2015,Serbia,19.000 Seats,Omladinski Stadion,52,Free transfer,€1.20m,€3.40m,0,+€3.40m
87,Spartak,/fk-spartak-subotica/startseite/verein/15276/saison_id/2015,"23,0",5,€8.35m,€220k,2015,Serbia,13.020 Seats,Gradski Stadion Subotica,38,Free transfer,€350k,€350k,0,+€350k
88,Rad,/fk-rad-belgrad/startseite/verein/902/saison_id/2015,"24,4",2,€7.93m,€203k,2015,Serbia,6.000 Seats,Stadion Kralj Petar Prvi,39,Free transfer,€960k,€1.16m,0,+€1.16m
89,Jagodina,/fk-jagodina/startseite/verein/12132/saison_id/2015,"22,4",6,€6.95m,€154k,2015,Serbia,15.000 Seats,Gradski Stadion,45,Free transfer,Free transfer,0,0,0
90,Sparta Praha,/ac-sparta-prag/startseite/verein/197/saison_id/2010,"24,6",10,€27.73m,€770k,2010,Czech Republic,18.944 Seats,Generali Arena,36,€1.15m,€4.00m,€8.00m,€1.98m,+€6.02m
91,Slavia Prague,/sk-slavia-prag/startseite/verein/62/saison_id/2010,"24,1",9,€15.60m,€422k,2010,Czech Republic,20.617 Seats,Sinobo Stadium,37,Free transfer,€3.80m,€5.58m,0,+€5.58m
92,FK Teplice,/fk-teplice/startseite/verein/814/saison_id/2010,"24,0",5,€13.10m,€437k,2010,Czech Republic,18.221 Seats,AGC Aréna,32,€200k,Free transfer,0,€200k,€-200k
93,Viktoria Plzen,/fc-viktoria-pilsen/startseite/verein/941/saison_id/2010,"24,7",5,€12.85m,€378k,2010,Czech Republic,11.700 Seats,Doosan Aréna,36,€700k,€500k,€500k,€1.46m,€-960k
94,Mladá Boleslav,/fk-mlada-boleslav/startseite/verein/5546/saison_id/2010,"23,9",10,€12.03m,€364k,2010,Czech Republic,5.000 Seats,Lokotrans Arena,33,€100k,Free transfer,0,€100k,€-100k
95,Slovan Liberec,/fc-slovan-liberec/startseite/verein/697/saison_id/2010,"24,7",7,€11.15m,€384k,2010,Czech Republic,9.900 Seats,Stadion U Nisy,29,€450k,€100k,€100k,€450k,€-350k
96,Banik Ostrava,/fc-banik-ostrava/startseite/verein/377/saison_id/2010,"23,4",7,€10.90m,€341k,2010,Czech Republic,15.123 Seats,Městský stadion,32,€750k,€3.00m,€4.70m,€750k,+€3.95m
97,FK Jablonec,/fk-jablonec/startseite/verein/1322/saison_id/2010,"24,8",3,€10.63m,€409k,2010,Czech Republic,6.108 Seats,Střelnice,26,€100k,€480k,€480k,€175k,+€305k
98,Slovácko,/1-fc-slovacko/startseite/verein/5544/saison_id/2010,"23,5",5,€5.33m,€184k,2010,Czech Republic,8.000 Seats,Městský fotbalový stadion Miroslava Valenty,29,€150k,Free transfer,0,€225k,€-225k
99,1.FK Pribram,/1-fk-pribram/startseite/verein/2598/saison_id/2010,"22,3",5,€4.88m,€157k,2010,Czech Republic,9.100 Seats,Stadion Na Litavce,31,Free transfer,€750k,€750k,0,+€750k
100,Sparta Praha,/ac-sparta-prag/startseite/verein/197/saison_id/2011,"25,1",6,€25.58m,€710k,2011,Czech Republic,18.944 Seats,Generali Arena,36,€600k,€2.00m,€2.48m,€920k,+€1.56m
101,Viktoria Plzen,/fc-viktoria-pilsen/startseite/verein/941/saison_id/2011,"26,0",5,€16.45m,€548k,2011,Czech Republic,11.700 Seats,Doosan Aréna,30,€800k,€3.50m,€3.50m,€1.40m,+€2.10m
102,Banik Ostrava,/fc-banik-ostrava/startseite/verein/377/saison_id/2011,"23,6",9,€12.50m,€329k,2011,Czech Republic,15.123 Seats,Městský stadion,38,Free transfer,Free transfer,0,0,0
103,Mladá Boleslav,/fk-mlada-boleslav/startseite/verein/5546/saison_id/2011,"25,0",4,€12.15m,€392k,2011,Czech Republic,5.000 Seats,Lokotrans Arena,33,?,€600k,€600k,0,+€600k
104,FK Teplice,/fk-teplice/startseite/verein/814/saison_id/2011,"23,8",7,€11.15m,€372k,2011,Czech Republic,18.221 Seats,AGC Aréna,31,Free transfer,€30k,€30k,0,+€30k
105,Slavia Prague,/sk-slavia-prag/startseite/verein/62/saison_id/2011,"22,9",7,€9.90m,€275k,2011,Czech Republic,20.617 Seats,Sinobo Stadium,37,€400k,€900k,€900k,€400k,+€500k
106,Slovan Liberec,/fc-slovan-liberec/startseite/verein/697/saison_id/2011,"25,0",6,€9.28m,€371k,2011,Czech Republic,9.900 Seats,Stadion U Nisy,25,Free transfer,€1.00m,€1.80m,0,+€1.80m
107,FK Jablonec,/fk-jablonec/startseite/verein/1322/saison_id/2011,"23,7",3,€8.98m,€345k,2011,Czech Republic,6.108 Seats,Střelnice,28,Free transfer,€2.00m,€3.00m,0,+€3.00m
108,1.FK Pribram,/1-fk-pribram/startseite/verein/2598/saison_id/2011,"21,7",7,€5.05m,€163k,2011,Czech Republic,9.100 Seats,Stadion Na Litavce,31,Free transfer,€800k,€950k,0,+€950k
109,Slovácko,/1-fc-slovacko/startseite/verein/5544/saison_id/2011,"24,0",4,€4.63m,€149k,2011,Czech Republic,8.000 Seats,Městský fotbalový stadion Miroslava Valenty,31,?,Free transfer,0,0,0
110,Sparta Praha,/ac-sparta-prag/startseite/verein/197/saison_id/2012,"23,8",7,€26.28m,€796k,2012,Czech Republic,18.944 Seats,Generali Arena,34,€800k,€450k,€450k,€1.42m,€-970k
111,Viktoria Plzen,/fc-viktoria-pilsen/startseite/verein/941/saison_id/2012,"24,9",6,€18.31m,€610k,2012,Czech Republic,11.700 Seats,Doosan Aréna,32,€800k,€300k,€520k,€2.64m,€-2.12m
112,Banik Ostrava,/fc-banik-ostrava/startseite/verein/377/saison_id/2012,"24,3",8,€15.80m,€451k,2012,Czech Republic,15.123 Seats,Městský stadion,36,Free transfer,€300k,€300k,0,+€300k
113,Mladá Boleslav,/fk-mlada-boleslav/startseite/verein/5546/saison_id/2012,"25,6",7,€14.70m,€408k,2012,Czech Republic,5.000 Seats,Lokotrans Arena,37,Free transfer,Free transfer,0,0,0
114,Slovan Liberec,/fc-slovan-liberec/startseite/verein/697/saison_id/2012,"24,5",13,€12.68m,€352k,2012,Czech Republic,9.900 Seats,Stadion U Nisy,39,Free transfer,€1.80m,€2.35m,0,+€2.35m
115,Slavia Prague,/sk-slavia-prag/startseite/verein/62/saison_id/2012,"24,9",9,€11.28m,€364k,2012,Czech Republic,20.617 Seats,Sinobo Stadium,36,€500k,Free transfer,0,€500k,€-500k
116,FK Teplice,/fk-teplice/startseite/verein/814/saison_id/2012,"24,8",8,€11.23m,€387k,2012,Czech Republic,18.221 Seats,AGC Aréna,33,€120k,Free transfer,0,€120k,€-120k
117,FK Jablonec,/fk-jablonec/startseite/verein/1322/saison_id/2012,"24,7",3,€10.70m,€412k,2012,Czech Republic,6.108 Seats,Střelnice,27,Free transfer,€800k,€1.44m,0,+€1.44m
118,1.FK Pribram,/1-fk-pribram/startseite/verein/2598/saison_id/2012,"24,1",6,€8.35m,€253k,2012,Czech Republic,9.100 Seats,Stadion Na Litavce,36,Free transfer,Free transfer,0,0,0
119,Slovácko,/1-fc-slovacko/startseite/verein/5544/saison_id/2012,"24,0",5,€6.78m,€205k,2012,Czech Republic,8.000 Seats,Městský fotbalový stadion Miroslava Valenty,35,Free transfer,Free transfer,0,0,0
120,Sparta Praha,/ac-sparta-prag/startseite/verein/197/saison_id/2013,"23,8",6,€33.65m,€841k,2013,Czech Republic,18.944 Seats,Generali Arena,42,€1.10m,€3.20m,€4.10m,€1.58m,+€2.52m
121,Viktoria Plzen,/fc-viktoria-pilsen/startseite/verein/941/saison_id/2013,"25,4",7,€28.93m,€723k,2013,Czech Republic,11.700 Seats,Doosan Aréna,40,€750k,€4.00m,€4.15m,€1.35m,+€2.80m
122,Slavia Prague,/sk-slavia-prag/startseite/verein/62/saison_id/2013,"24,6",13,€15.60m,€371k,2013,Czech Republic,20.617 Seats,Sinobo Stadium,44,€250k,€1.00m,€1.00m,€250k,+€750k
123,Mladá Boleslav,/fk-mlada-boleslav/startseite/verein/5546/saison_id/2013,"25,4",3,€13.08m,€319k,2013,Czech Republic,5.000 Seats,Lokotrans Arena,42,Free transfer,Free transfer,0,0,0
124,FK Jablonec,/fk-jablonec/startseite/verein/1322/saison_id/2013,"24,4",3,€11.65m,€333k,2013,Czech Republic,6.108 Seats,Střelnice,35,Free transfer,€1.15m,€1.15m,0,+€1.15m
125,Slovan Liberec,/fc-slovan-liberec/startseite/verein/697/saison_id/2013,"23,1",15,€11.30m,€290k,2013,Czech Republic,9.900 Seats,Stadion U Nisy,39,€121k,€700k,€700k,€121k,+€579k
