,Team,Matches Played,Wins,Draws,Losses,Goals Scored,Goals Against,Goals balance,Points,year,Country
57,Piast Gliwice,37,20,9,8,60,45,+15,40,2015,Poland
58,Zagłębie Lubin,37,17,9,11,55,42,+13,38,2015,Poland
59,Cracovia Kraków,37,16,10,11,66,50,+16,36,2015,Poland
60,Lechia Gdańsk,37,14,10,13,53,44,+9,32,2015,Poland
61,Pogoń Szczecin,37,12,17,8,43,43,+0,30,2015,Poland
62,Lech Poznań,37,14,6,17,42,47,-5,27,2015,Poland
63,Ruch Chorzów,37,11,8,18,40,60,-20,21,2015,Poland
64,Cracovia Kraków,37,15,9,13,50,44,+6,36,2014,Poland
65,Ruch Chorzów,37,12,10,15,44,46,-2,30,2014,Poland
66,Korona Kielce,37,12,11,14,44,55,-11,28,2014,Poland
67,Piast Gliwice,37,13,8,16,50,56,-6,28,2014,Poland
68,Podbeskidzie,37,12,10,15,47,60,-13,27,2014,Poland
69,Górnik Łęczna,37,11,11,15,39,46,-7,27,2014,Poland
70,Zawisza Bydgoszcz,37,10,8,19,45,63,-18,24,2014,Poland
71,Bełchatów,37,9,9,19,35,60,-25,21,2014,Poland
72,Śląsk Wrocław,7,5,2,0,11,1,+10,34,2013,Poland
73,Podbeskidzie,7,4,2,1,12,6,+6,30,2013,Poland
74,Jagiellonia Bi…,7,2,3,2,13,15,-2,29,2013,Poland
75,Piast Gliwice,7,3,2,2,14,9,+5,28,2013,Poland
76,Korona Kielce,7,1,4,2,11,15,-4,26,2013,Poland
77,Cracovia Kraków,7,1,2,4,6,13,-7,25,2013,Poland
78,Widzew Łódź,7,3,2,2,10,8,+2,22,2013,Poland
79,Zagłębie Lubin,7,0,1,6,1,11,-10,16,2013,Poland
