|Team|Link|Age|AbroadPlayers|Value|Difference|Year|Country
49|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2016|23,0|18|€75.70m|€1.54m|2016|Croatia
50|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2016|23,0|22|€29.43m|€654k|2016|Croatia
51|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2016|22,0|17|€27.18m|€647k|2016|Croatia
52|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2016|20,8|9|€15.73m|€276k|2016|Croatia
53|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2016|22,2|3|€9.30m|€233k|2016|Croatia
54|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2016|23,4|11|€9.15m|€277k|2016|Croatia
55|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2016|23,2|13|€7.13m|€183k|2016|Croatia
56|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2017|22,7|18|€62.35m|€1.48m|2017|Croatia
57|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2017|23,9|23|€33.10m|€752k|2017|Croatia
58|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2017|22,4|15|€28.40m|€747k|2017|Croatia
59|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2017|23,2|7|€16.20m|€395k|2017|Croatia
60|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2017|22,2|7|€12.50m|€305k|2017|Croatia
61|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2017|23,4|16|€11.00m|€193k|2017|Croatia
62|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2017|23,2|7|€7.83m|€237k|2017|Croatia
63|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2018|23,7|17|€44.28m|€1.11m|2018|Croatia
64|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2018|22,4|18|€24.60m|€615k|2018|Croatia
65|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2018|21,7|18|€22.90m|€467k|2018|Croatia
66|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2018|23,0|14|€20.78m|€495k|2018|Croatia
67|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2018|21,9|14|€9.00m|€173k|2018|Croatia
68|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2018|23,4|9|€8.70m|€249k|2018|Croatia
69|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2018|22,1|31|€7.58m|€158k|2018|Croatia
70|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2009|24,1|9|€41.95m|€1.23m|2009|Serbia
71|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2009|22,6|18|€19.68m|€532k|2009|Serbia
72|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2009|23,8|7|€17.48m|€530k|2009|Serbia
73|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2009|22,2|8|€7.55m|€229k|2009|Serbia
74|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2009|22,6|3|€3.10m|€111k|2009|Serbia
75|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2010|23,5|9|€32.28m|€872k|2010|Serbia
76|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2010|22,9|9|€25.35m|€768k|2010|Serbia
77|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2010|21,2|12|€19.00m|€543k|2010|Serbia
78|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2010|20,9|4|€9.70m|€285k|2010|Serbia
79|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2010|22,6|6|€8.25m|€258k|2010|Serbia
80|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2011|22,1|12|€28.88m|€722k|2011|Serbia
81|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2011|22,2|15|€22.75m|€615k|2011|Serbia
82|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2011|23,8|8|€22.68m|€756k|2011|Serbia
83|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2011|21,2|4|€11.43m|€309k|2011|Serbia
84|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2011|22,1|2|€8.70m|€281k|2011|Serbia
85|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2012|22,7|8|€33.60m|€862k|2012|Serbia
86|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2012|21,1|11|€26.50m|€679k|2012|Serbia
87|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2012|22,7|15|€19.30m|€522k|2012|Serbia
