|Team|Link|Age|AbroadPlayers|Value|Difference|Year|Country
213|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2015|24,3|6|€12.70m|€454k|2015|Czech Republic
214|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2015|24,9|13|€9.38m|€260k|2015|Czech Republic
215|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2015|23,7|7|€5.40m|€169k|2015|Czech Republic
216|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2016|23,4|11|€35.43m|€644k|2016|Czech Republic
217|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2016|26,7|10|€28.03m|€801k|2016|Czech Republic
218|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2016|24,1|13|€19.40m|€539k|2016|Czech Republic
219|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2016|23,3|4|€12.90m|€331k|2016|Czech Republic
220|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2016|23,8|10|€12.43m|€276k|2016|Czech Republic
221|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2016|24,7|7|€11.58m|€313k|2016|Czech Republic
222|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2016|23,9|9|€8.65m|€240k|2016|Czech Republic
223|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2016|23,0|9|€6.65m|€185k|2016|Czech Republic
224|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2017|25,8|19|€50.63m|€1.37m|2017|Czech Republic
225|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2017|26,6|15|€36.80m|€1.12m|2017|Czech Republic
226|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2017|26,8|6|€23.95m|€773k|2017|Czech Republic
227|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2017|25,0|13|€17.33m|€403k|2017|Czech Republic
228|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2017|23,0|7|€11.98m|€324k|2017|Czech Republic
229|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2017|24,0|4|€11.10m|€336k|2017|Czech Republic
230|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2017|24,4|7|€10.90m|€303k|2017|Czech Republic
231|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2017|23,7|4|€6.10m|€218k|2017|Czech Republic
232|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2018|24,2|19|€42.83m|€973k|2018|Czech Republic
233|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2018|23,6|16|€40.70m|€904k|2018|Czech Republic
234|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2018|26,4|9|€32.60m|€836k|2018|Czech Republic
235|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2018|23,7|12|€16.00m|€364k|2018|Czech Republic
236|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2018|24,1|8|€13.50m|€422k|2018|Czech Republic
237|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2018|23,0|13|€12.10m|€295k|2018|Czech Republic
238|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2018|23,8|5|€8.93m|€229k|2018|Czech Republic
239|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2018|24,6|5|€8.13m|€239k|2018|Czech Republic
240|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2009|24,3|11|€29.25m|€886k|2009|Poland
241|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2009|24,4|8|€28.73m|€898k|2009|Poland
242|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2009|23,5|13|€20.65m|€688k|2009|Poland
243|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2009|25,8|6|€9.65m|€261k|2009|Poland
244|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2009|24,3|4|€9.58m|€330k|2009|Poland
245|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2009|24,5|11|€7.75m|€209k|2009|Poland
246|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2009|25,5|5|€4.38m|€151k|2009|Poland
247|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2010|23,7|15|€30.13m|€861k|2010|Poland
248|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2010|25,1|18|€30.00m|€789k|2010|Poland
249|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2010|24,4|11|€26.53m|€780k|2010|Poland
250|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2010|25,5|8|€14.53m|€427k|2010|Poland
251|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2010|25,6|6|€12.58m|€419k|2010|Poland
252|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2010|23,3|13|€9.28m|€273k|2010|Poland
253|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2010|24,4|10|€8.75m|€313k|2010|Poland
254|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2011|24,2|15|€31.45m|€850k|2011|Poland
255|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2011|24,0|11|€26.03m|€929k|2011|Poland
256|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2011|25,2|16|€22.35m|€798k|2011|Poland
257|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2011|25,7|8|€14.13m|€456k|2011|Poland
258|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2011|23,6|14|€12.93m|€359k|2011|Poland
259|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2011|24,0|12|€11.20m|€329k|2011|Poland
260|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2011|24,3|6|€10.40m|€297k|2011|Poland
261|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2012|25,0|13|€20.23m|€632k|2012|Poland
262|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2012|24,6|9|€20.20m|€594k|2012|Poland
263|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2012|24,2|7|€19.30m|€772k|2012|Poland
264|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2012|24,2|10|€15.63m|€504k|2012|Poland
265|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2012|22,7|9|€9.53m|€238k|2012|Poland
266|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2012|24,4|8|€9.43m|€248k|2012|Poland
267|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2012|22,6|8|€9.30m|€266k|2012|Poland
268|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2013|23,4|13|€24.05m|€587k|2013|Poland
269|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2013|23,7|11|€17.05m|€501k|2013|Poland
270|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2013|24,7|14|€15.03m|€417k|2013|Poland
271|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2013|22,5|10|€11.83m|€311k|2013|Poland
272|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2013|21,9|11|€10.78m|€251k|2013|Poland
273|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2013|23,9|10|€10.45m|€249k|2013|Poland
274|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2013|22,8|7|€9.88m|€253k|2013|Poland
275|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2014|24,1|11|€23.55m|€604k|2014|Poland
276|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2014|23,3|15|€17.20m|€521k|2014|Poland
277|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2014|22,7|15|€17.20m|€430k|2014|Poland
278|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2014|23,5|9|€11.40m|€356k|2014|Poland
279|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2014|24,7|14|€11.30m|€323k|2014|Poland
280|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2014|24,8|11|€11.23m|€362k|2014|Poland
281|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2014|21,4|7|€8.55m|€199k|2014|Poland
282|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2015|25,4|11|€32.45m|€901k|2015|Poland
283|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2015|24,2|14|€23.90m|€683k|2015|Poland
284|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2015|24,0|14|€18.08m|€489k|2015|Poland
285|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2015|22,2|8|€13.40m|€327k|2015|Poland
286|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2015|24,1|9|€12.08m|€335k|2015|Poland
287|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2015|24,7|11|€11.18m|€360k|2015|Poland
288|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2015|23,5|11|€6.40m|€149k|2015|Poland
289|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2016|24,7|18|€43.38m|€904k|2016|Poland
290|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2016|25,0|16|€19.48m|€487k|2016|Poland
291|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2016|23,6|12|€17.15m|€440k|2016|Poland
292|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2016|24,6|11|€11.20m|€303k|2016|Poland
293|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2016|23,4|10|€10.18m|€275k|2016|Poland
294|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2016|25,4|15|€9.98m|€322k|2016|Poland
295|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2016|24,0|14|€8.40m|€191k|2016|Poland
296|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2017|25,1|21|€39.58m|€824k|2017|Poland
297|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2017|24,7|17|€18.10m|€453k|2017|Poland
298|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2017|24,9|18|€16.93m|€498k|2017|Poland
299|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2017|24,7|14|€16.58m|€448k|2017|Poland
300|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2017|24,5|19|€11.90m|€298k|2017|Poland
301|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2017|25,1|11|€9.45m|€270k|2017|Poland
302|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2017|24,4|20|€8.18m|€221k|2017|Poland
303|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2018|25,0|20|€34.73m|€789k|2018|Poland
304|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2018|23,6|15|€18.80m|€459k|2018|Poland
305|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2018|23,8|18|€15.43m|€343k|2018|Poland
306|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2018|23,1|11|€11.41m|€253k|2018|Poland
307|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2018|23,1|9|€11.28m|€313k|2018|Poland
308|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2018|24,4|7|€9.23m|€249k|2018|Poland
309|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2018|23,2|16|€8.35m|€226k|2018|Poland
310|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2009|26,4|22|€37.05m|€1.09m|2009|Romania
311|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2009|25,0|9|€29.78m|€876k|2009|Romania
312|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2010|25,5|25|€42.00m|€1.02m|2010|Romania
313|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2010|24,9|10|€32.68m|€797k|2010|Romania
314|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2011|26,8|23|€34.15m|€1.03m|2011|Romania
315|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2011|24,9|6|€25.03m|€736k|2011|Romania
316|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2012|26,6|26|€36.45m|€959k|2012|Romania
317|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2012|23,9|6|€23.48m|€652k|2012|Romania
318|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2013|25,1|24|€32.35m|€789k|2013|Romania
319|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2013|22,4|13|€24.88m|€529k|2013|Romania
320|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2014|23,0|13|€25.95m|€552k|2014|Romania
321|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2014|23,2|23|€18.05m|€392k|2014|Romania
322|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2015|23,0|16|€21.53m|€501k|2015|Romania
323|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2015|25,0|17|€13.98m|€437k|2015|Romania
324|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2016|24,3|17|€23.23m|€596k|2016|Romania
325|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2016|25,1|13|€14.08m|€380k|2016|Romania
326|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2017|24,0|17|€24.10m|€560k|2017|Romania
327|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2017|25,5|15|€19.85m|€536k|2017|Romania
328|CFR Cluj|/cfr-cluj/startseite/verein/7769/saison_id/2018|26,0|16|€26.73m|€703k|2018|Romania
329|Dinamo Bukarest|/dinamo-bukarest/startseite/verein/312/saison_id/2018|23,9|26|€21.20m|€393k|2018|Romania
330|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2009|24,8|14|€99.00m|€3.09m|2009|Greece
331|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2009|24,9|17|€94.20m|€2.69m|2009|Greece
332|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2009|25,9|21|€48.45m|€1.47m|2009|Greece
333|Panionios|/panionios-athen/startseite/verein/169/saison_id/2009|22,5|19|€26.10m|€669k|2009|Greece
334|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2009|24,7|15|€21.50m|€741k|2009|Greece
335|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2009|26,8|12|€21.00m|€700k|2009|Greece
336|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2010|24,7|23|€110.83m|€2.92m|2010|Greece
337|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2010|24,4|14|€99.55m|€2.77m|2010|Greece
338|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2010|25,4|22|€60.25m|€1.54m|2010|Greece
339|Panionios|/panionios-athen/startseite/verein/169/saison_id/2010|23,9|24|€32.58m|€905k|2010|Greece
340|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2010|24,3|21|€20.80m|€547k|2010|Greece
341|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2010|26,2|13|€19.85m|€684k|2010|Greece
342|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2011|25,4|25|€98.65m|€2.47m|2011|Greece
343|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2011|24,9|13|€74.10m|€2.06m|2011|Greece
344|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2011|24,2|20|€53.45m|€1.19m|2011|Greece
345|Panionios|/panionios-athen/startseite/verein/169/saison_id/2011|23,8|20|€23.50m|€480k|2011|Greece
346|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2011|24,6|9|€18.60m|€664k|2011|Greece
347|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2011|25,5|22|€18.10m|€489k|2011|Greece
348|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2012|25,1|15|€75.03m|€2.34m|2012|Greece
349|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2012|23,4|14|€44.60m|€1.14m|2012|Greece
350|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2012|24,5|16|€43.45m|€1.28m|2012|Greece
351|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2012|25,0|14|€20.45m|€705k|2012|Greece
352|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2012|25,5|20|€17.95m|€528k|2012|Greece
353|Panionios|/panionios-athen/startseite/verein/169/saison_id/2012|22,0|3|€8.93m|€241k|2012|Greece
354|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2013|25,0|23|€81.25m|€2.20m|2013|Greece
355|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2013|24,2|23|€78.10m|€1.53m|2013|Greece
356|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2013|23,8|19|€19.50m|€453k|2013|Greece
357|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2013|22,3|12|€19.40m|€588k|2013|Greece
358|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2013|25,5|7|€17.15m|€591k|2013|Greece
359|Panionios|/panionios-athen/startseite/verein/169/saison_id/2013|22,8|4|€9.55m|€308k|2013|Greece
360|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2014|24,0|24|€84.05m|€2.05m|2014|Greece
361|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2014|24,4|12|€44.98m|€1.36m|2014|Greece
362|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2014|23,9|12|€26.35m|€798k|2014|Greece
363|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2014|23,9|22|€19.20m|€468k|2014|Greece
364|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2014|26,1|11|€18.60m|€581k|2014|Greece
365|Panionios|/panionios-athen/startseite/verein/169/saison_id/2014|21,5|5|€8.58m|€232k|2014|Greece
366|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2015|23,6|22|€91.33m|€2.28m|2015|Greece
367|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2015|24,7|20|€44.45m|€1.06m|2015|Greece
368|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2015|22,7|17|€41.23m|€825k|2015|Greece
369|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2015|25,4|22|€20.63m|€557k|2015|Greece
370|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2015|25,9|16|€16.58m|€535k|2015|Greece
371|Panionios|/panionios-athen/startseite/verein/169/saison_id/2015|22,2|3|€11.03m|€356k|2015|Greece
372|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2016|24,3|32|€113.05m|€2.09m|2016|Greece
373|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2016|23,5|23|€54.48m|€1.07m|2016|Greece
374|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2016|24,5|24|€50.15m|€1.14m|2016|Greece
375|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2016|23,6|17|€17.95m|€460k|2016|Greece
376|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2016|25,9|11|€15.35m|€451k|2016|Greece
377|Panionios|/panionios-athen/startseite/verein/169/saison_id/2016|23,5|12|€15.35m|€415k|2016|Greece
378|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2017|24,3|25|€98.90m|€2.30m|2017|Greece
379|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2017|25,0|22|€64.05m|€1.60m|2017|Greece
380|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2017|23,6|18|€43.10m|€1.05m|2017|Greece
381|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2017|22,7|16|€13.23m|€348k|2017|Greece
382|Panionios|/panionios-athen/startseite/verein/169/saison_id/2017|24,0|13|€13.23m|€401k|2017|Greece
383|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2017|24,0|12|€12.83m|€414k|2017|Greece
384|Olympiacos|/olympiakos-piraus/startseite/verein/683/saison_id/2018|23,3|27|€90.65m|€1.59m|2018|Greece
385|PAOK Salonika|/paok-thessaloniki/startseite/verein/1091/saison_id/2018|24,2|29|€86.95m|€1.61m|2018|Greece
386|Atromitos Athen|/atromitos-athen/startseite/verein/3060/saison_id/2018|23,3|12|€18.20m|€506k|2018|Greece
387|Panathinaikos|/panathinaikos-athen/startseite/verein/265/saison_id/2018|21,6|9|€17.33m|€413k|2018|Greece
388|Panionios|/panionios-athen/startseite/verein/169/saison_id/2018|24,6|20|€15.18m|€434k|2018|Greece
389|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2018|22,7|12|€14.20m|€346k|2018|Greece
390|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2009|23,4|3|€6.80m|€272k|2009|Israel
391|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2009|24,0|6|€6.68m|€267k|2009|Israel
392|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2009|22,9|8|€4.73m|€175k|2009|Israel
393|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2009|24,0|9|€2.50m|€69k|2009|Israel
394|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2009|24,7|8|€1.48m|€49k|2009|Israel
395|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2009|24,1|6|€775k|€28k|2009|Israel
396|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2010|24,5|6|€15.95m|€515k|2010|Israel
397|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2010|23,6|9|€15.48m|€595k|2010|Israel
398|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2010|24,2|6|€11.15m|€360k|2010|Israel
399|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2010|25,5|8|€5.83m|€216k|2010|Israel
400|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2010|23,9|7|€4.53m|€137k|2010|Israel
401|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2010|24,3|3|€3.38m|€147k|2010|Israel
402|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2011|22,8|10|€17.60m|€503k|2011|Israel
403|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2011|22,8|6|€11.50m|€348k|2011|Israel
404|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2011|24,3|6|€7.45m|€233k|2011|Israel
405|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2011|22,6|5|€7.05m|€227k|2011|Israel
406|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2011|23,6|9|€6.18m|€193k|2011|Israel
407|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2011|24,1|4|€3.25m|€125k|2011|Israel
408|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2012|24,8|6|€16.43m|€657k|2012|Israel
409|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2012|23,5|7|€12.83m|€428k|2012|Israel
410|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2012|23,1|5|€6.60m|€220k|2012|Israel
411|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2012|24,7|7|€6.48m|€209k|2012|Israel
412|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2012|23,6|7|€5.85m|€189k|2012|Israel
413|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2012|23,9|8|€5.78m|€186k|2012|Israel
414|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2013|25,5|6|€14.55m|€560k|2013|Israel
415|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2013|23,5|7|€13.48m|€408k|2013|Israel
416|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2013|23,7|9|€11.60m|€305k|2013|Israel
417|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2013|24,9|7|€9.65m|€371k|2013|Israel
418|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2013|24,9|8|€8.95m|€249k|2013|Israel
419|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2013|25,9|7|€5.90m|€184k|2013|Israel
420|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2014|27,2|9|€21.45m|€650k|2014|Israel
421|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2014|25,8|6|€17.50m|€625k|2014|Israel
422|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2014|25,2|7|€10.43m|€298k|2014|Israel
423|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2014|25,2|6|€10.10m|€348k|2014|Israel
424|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2014|24,9|8|€6.10m|€169k|2014|Israel
425|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2014|24,0|7|€5.25m|€135k|2014|Israel
426|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2015|26,7|8|€26.45m|€912k|2015|Israel
427|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2015|25,4|6|€20.70m|€609k|2015|Israel
428|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2015|24,8|6|€12.28m|€396k|2015|Israel
429|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2015|26,8|4|€11.33m|€453k|2015|Israel
430|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2015|25,2|7|€6.85m|€221k|2015|Israel
431|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2015|25,0|7|€4.53m|€156k|2015|Israel
432|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2016|26,3|11|€31.65m|€959k|2016|Israel
433|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2016|24,0|10|€17.80m|€445k|2016|Israel
434|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2016|25,2|7|€16.95m|€499k|2016|Israel
435|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2016|25,5|7|€14.25m|€419k|2016|Israel
