|StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
1030|19.500 Seats|Zentralstadion Shakhter|54|Free transfer|Free transfer|0|0|0
1031|8.050 Seats|Zentralstadion  Kostanay|30|Free transfer|Free transfer|0|0|0
1032|20.000 Seats|Kazhimukan Munaytpasov Stadion|46|Free transfer|Free transfer|0|0|0
1033|11.828 Seats|Zentralstadion Pavlodar|29|Free transfer|Free transfer|0|0|0
1034|30.000 Seats|Astana Arena|43|Ä1.00m|Free transfer|0|Ä1.30m|Ä-1.30m
1035|23.804 Seats|Zentralstadion Almaty|37|Ä200k|Free transfer|0|Ä300k|Ä-300k
1036|19.500 Seats|Zentralstadion Shakhter|39|Ä400k|Free transfer|0|Ä400k|Ä-400k
1037|11.828 Seats|Zentralstadion Pavlodar|42|Free transfer|Free transfer|0|0|0
1038|8.050 Seats|Zentralstadion  Kostanay|29|Ä20k|Free transfer|0|Ä20k|Ä-20k
1039|20.000 Seats|Kazhimukan Munaytpasov Stadion|29|Free transfer|Free transfer|0|0|0
1040|30.000 Seats|Astana Arena|40|Ä2.00m|Free transfer|0|Ä2.40m|Ä-2.40m
1041|23.804 Seats|Zentralstadion Almaty|38|Ä550k|Free transfer|0|Ä550k|Ä-550k
1042|8.050 Seats|Zentralstadion  Kostanay|34|Ä60k|Free transfer|0|Ä60k|Ä-60k
1043|19.500 Seats|Zentralstadion Shakhter|46|Free transfer|Free transfer|0|0|0
1044|11.828 Seats|Zentralstadion Pavlodar|38|Free transfer|Free transfer|0|0|0
1045|20.000 Seats|Kazhimukan Munaytpasov Stadion|26|Free transfer|Free transfer|0|0|0
1046|30.000 Seats|Astana Arena|49|Ä180k|Free transfer|0|Ä180k|Ä-180k
1047|23.804 Seats|Zentralstadion Almaty|40|Free transfer|Ä380k|Ä380k|0|+Ä380k
1048|20.000 Seats|Kazhimukan Munaytpasov Stadion|39|Free transfer|Free transfer|0|0|0
1049|8.050 Seats|Zentralstadion  Kostanay|33|Free transfer|Free transfer|0|0|0
1050|11.828 Seats|Zentralstadion Pavlodar|34|Free transfer|Free transfer|0|0|0
1051|19.500 Seats|Zentralstadion Shakhter|33|Free transfer|Free transfer|0|0|0
1052|23.804 Seats|Zentralstadion Almaty|42|Ä1.00m|Free transfer|0|Ä1.96m|Ä-1.96m
1053|30.000 Seats|Astana Arena|41|Free transfer|Free transfer|0|0|0
1054|20.000 Seats|Kazhimukan Munaytpasov Stadion|43|Ä47k|Ä450k|Ä450k|Ä47k|+Ä403k
1055|8.050 Seats|Zentralstadion  Kostanay|35|Free transfer|Free transfer|0|0|0
1056|11.828 Seats|Zentralstadion Pavlodar|33|Free transfer|Free transfer|0|0|0
1057|19.500 Seats|Zentralstadion Shakhter|37|Free transfer|Free transfer|0|0|0
1058|30.000 Seats|Astana Arena|46|Ä700k|Ä2.00m|Ä2.00m|Ä846k|+Ä1.15m
1059|23.804 Seats|Zentralstadion Almaty|44|Free transfer|Free transfer|0|0|0
1060|20.000 Seats|Kazhimukan Munaytpasov Stadion|41|Free transfer|Free transfer|0|0|0
1061|11.828 Seats|Zentralstadion Pavlodar|46|Free transfer|Free transfer|0|0|0
1062|8.050 Seats|Zentralstadion  Kostanay|29|Free transfer|Free transfer|0|0|0
1063|19.500 Seats|Zentralstadion Shakhter|33|Free transfer|Free transfer|0|0|0
1064|30.000 Seats|Astana Arena|40|Ä1.50m|Ä3.00m|Ä3.12m|Ä2.75m|+Ä365k
1065|23.804 Seats|Zentralstadion Almaty|42|Ä870k|Free transfer|0|Ä1.82m|Ä-1.82m
1066|8.050 Seats|Zentralstadion  Kostanay|40|Ä100k|Free transfer|0|Ä100k|Ä-100k
1067|11.828 Seats|Zentralstadion Pavlodar|50|Free transfer|Free transfer|0|0|0
1068|20.000 Seats|Kazhimukan Munaytpasov Stadion|28|Ä400k|Ä870k|Ä1.12m|Ä400k|+Ä720k
1069|19.500 Seats|Zentralstadion Shakhter|32|Free transfer|Free transfer|0|0|0
