|StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
817|22.859 Seats|GSP Stadium|31|Free transfer|Ä275k|Ä275k|0|+Ä275k
818|13.331 Seats|Tsirion Stadion|30|Free transfer|Free transfer|0|0|0
819|13.331 Seats|Tsirion Stadion|38|Free transfer|Ä50k|Ä50k|0|+Ä50k
820|22.859 Seats|GSP Stadium|36|Ä225k|Free transfer|0|Ä415k|Ä-415k
821|13.331 Seats|Tsirion Stadion|32|Free transfer|Ä500k|Ä1.20m|0|+Ä1.20m
822|10.230 Seats|Antonis Papadopoulos|36|Ä20k|Ä1.70m|Ä1.70m|Ä20k|+Ä1.68m
823|13.331 Seats|Tsirion Stadion|31|Ä500k|Free transfer|0|Ä500k|Ä-500k
824|22.859 Seats|GSP Stadium|41|Free transfer|Ä200k|Ä200k|0|+Ä200k
825|22.859 Seats|GSP Stadium|36|Ä500k|Free transfer|0|Ä575k|Ä-575k
826|13.331 Seats|Tsirion Stadion|35|Ä400k|Ä1.90m|Ä1.90m|Ä400k|+Ä1.50m
827|22.859 Seats|GSP Stadium|39|Free transfer|Free transfer|0|0|0
828|10.230 Seats|Antonis Papadopoulos|30|Free transfer|Free transfer|0|0|0
829|13.331 Seats|Tsirion Stadion|39|Free transfer|Free transfer|0|0|0
830|22.859 Seats|GSP Stadium|39|Ä120k|Free transfer|0|Ä120k|Ä-120k
831|22.859 Seats|GSP Stadium|38|Ä200k|Free transfer|0|Ä200k|Ä-200k
832|13.331 Seats|Tsirion Stadion|36|Ä2.50m|Ä6.60m|Ä6.60m|Ä4.50m|+Ä2.10m
833|10.230 Seats|Antonis Papadopoulos|30|Ä200k|Ä350k|Ä500k|Ä400k|+Ä100k
834|13.331 Seats|Tsirion Stadion|35|Ä45k|Ä75k|Ä75k|Ä45k|+Ä30k
835|22.859 Seats|GSP Stadium|37|Ä250k|Ä3.00m|Ä3.60m|Ä370k|+Ä3.23m
836|13.331 Seats|Tsirion Stadion|46|Free transfer|Free transfer|0|0|0
837|22.859 Seats|GSP Stadium|40|Free transfer|Ä300k|Ä375k|0|+Ä375k
838|10.230 Seats|Antonis Papadopoulos|33|Ä100k|Ä600k|Ä1.15m|Ä125k|+Ä1.03m
839|13.331 Seats|Tsirion Stadion|36|Free transfer|Ä100k|Ä100k|0|+Ä100k
840|22.859 Seats|GSP Stadium|37|Ä2.00m|Ä2.50m|Ä2.50m|Ä2.20m|+Ä300k
841|13.331 Seats|Tsirion Stadion|39|Ä25k|Ä250k|Ä290k|Ä25k|+Ä265k
842|22.859 Seats|GSP Stadium|39|Free transfer|Ä100k|Ä100k|0|+Ä100k
843|10.230 Seats|Antonis Papadopoulos|29|Free transfer|Ä300k|Ä300k|0|+Ä300k
