TransfermarktId|WinsELQ|DrawsELQ|LossesELQ|Year
11006|0.0|0.0|2.0|2009
11066|0.0|2.0|2.0|2009
11411|1.0|0.0|1.0|2009
11540|0.0|0.0|2.0|2009
11907|0.0|0.0|2.0|2009
11914|1.0|0.0|1.0|2009
11915|1.0|0.0|1.0|2009
12004|0.0|0.0|2.0|2009
12460|1.0|0.0|1.0|2009
12657|0.0|0.0|2.0|2009
12889|1.0|0.0|3.0|2009
13328|0.0|0.0|2.0|2009
19662|1.0|0.0|1.0|2009
21532|0.0|1.0|1.0|2009
21717|0.0|0.0|2.0|2009
22783|0.0|1.0|1.0|2009
23911|0.0|0.0|2.0|2009
14|3.0|2.0|1.0|2010
15|2.0|0.0|0.0|2010
16|2.0|0.0|0.0|2010
31|4.0|0.0|0.0|2010
36|0.0|1.0|1.0|2010
53|1.0|2.0|1.0|2010
79|2.0|2.0|0.0|2010
84|2.0|0.0|0.0|2010
114|5.0|1.0|0.0|2010
119|3.0|0.0|3.0|2010
122|1.0|1.0|2.0|2010
141|1.0|3.0|0.0|2010
156|4.0|2.0|0.0|2010
157|1.0|0.0|1.0|2010
159|0.0|1.0|1.0|2010
163|0.0|1.0|1.0|2010
170|4.0|2.0|0.0|2010
173|3.0|1.0|0.0|2010
200|4.0|1.0|1.0|2010
206|4.0|1.0|1.0|2010
208|3.0|1.0|0.0|2010
223|2.0|1.0|1.0|2010
234|1.0|0.0|1.0|2010
238|1.0|1.0|0.0|2010
271|0.0|0.0|2.0|2010
272|0.0|1.0|1.0|2010
281|2.0|0.0|0.0|2010
301|1.0|0.0|1.0|2010
312|3.0|0.0|1.0|2010
314|0.0|1.0|1.0|2010
318|2.0|2.0|2.0|2010
329|0.0|1.0|1.0|2010
336|3.0|0.0|1.0|2010
339|1.0|1.0|2.0|2010
371|1.0|0.0|1.0|2010
377|1.0|1.0|2.0|2010
383|1.0|0.0|1.0|2010
405|0.0|1.0|1.0|2010
419|2.0|0.0|0.0|2010
422|2.0|0.0|2.0|2010
429|1.0|0.0|1.0|2010
434|0.0|0.0|2.0|2010
447|2.0|1.0|1.0|2010
449|0.0|0.0|2.0|2010
458|1.0|0.0|1.0|2010
504|1.0|0.0|1.0|2010
506|4.0|0.0|0.0|2010
520|2.0|0.0|2.0|2010
527|2.0|4.0|0.0|2010
540|1.0|2.0|1.0|2010
583|1.0|0.0|1.0|2010
605|2.0|2.0|0.0|2010
663|3.0|2.0|1.0|2010
683|3.0|0.0|1.0|2010
687|1.0|1.0|2.0|2010
713|2.0|0.0|0.0|2010
720|2.0|0.0|0.0|2010
739|0.0|0.0|2.0|2010
748|3.0|0.0|1.0|2010
751|0.0|1.0|1.0|2010
790|4.0|1.0|1.0|2010
801|1.0|0.0|1.0|2010
829|0.0|1.0|1.0|2010
853|1.0|0.0|1.0|2010
903|0.0|0.0|2.0|2010
932|0.0|2.0|0.0|2010
941|0.0|1.0|1.0|2010
969|1.0|0.0|1.0|2010
987|3.0|1.0|2.0|2010
1002|0.0|1.0|1.0|2010
1004|0.0|2.0|0.0|2010
1008|0.0|0.0|2.0|2010
1043|0.0|1.0|1.0|2010
1050|2.0|0.0|0.0|2010
1064|1.0|0.0|1.0|2010
1082|1.0|1.0|0.0|2010
1090|2.0|0.0|2.0|2010
1091|1.0|1.0|0.0|2010
1101|4.0|0.0|2.0|2010
1180|3.0|0.0|3.0|2010
1184|2.0|0.0|2.0|2010
1242|2.0|1.0|1.0|2010
1251|1.0|1.0|2.0|2010
1274|0.0|2.0|0.0|2010
1301|4.0|0.0|2.0|2010
1322|0.0|0.0|2.0|2010
1391|0.0|1.0|1.0|2010
1519|0.0|1.0|1.0|2010
1562|0.0|1.0|1.0|2010
2049|1.0|2.0|1.0|2010
2227|0.0|0.0|2.0|2010
2230|0.0|1.0|1.0|2010
2275|3.0|0.0|1.0|2010
2282|2.0|0.0|0.0|2010
2300|0.0|1.0|1.0|2010
2410|2.0|0.0|0.0|2010
2441|1.0|1.0|0.0|2010
2477|4.0|2.0|0.0|2010
2576|0.0|0.0|2.0|2010
2688|4.0|1.0|1.0|2010
2778|0.0|0.0|2.0|2010
2782|0.0|1.0|1.0|2010
2784|4.0|1.0|1.0|2010
3237|1.0|1.0|2.0|2010
3258|1.0|1.0|2.0|2010
3649|1.0|1.0|2.0|2010
3654|3.0|2.0|1.0|2010
3709|1.0|1.0|0.0|2010
3737|0.0|0.0|2.0|2010
3899|4.0|0.0|4.0|2010
3900|0.0|1.0|1.0|2010
4391|1.0|0.0|3.0|2010
4394|3.0|3.0|2.0|2010
4414|2.0|0.0|2.0|2010
4641|3.0|1.0|2.0|2010
4772|0.0|0.0|2.0|2010
4786|1.0|0.0|1.0|2010
5411|0.0|1.0|1.0|2010
5594|1.0|2.0|1.0|2010
5619|0.0|1.0|1.0|2010
5724|2.0|2.0|2.0|2010
5862|0.0|1.0|1.0|2010
