|Team|Link|Age|AbroadPlayers|Value|Difference|Year|Country|StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
121|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2009|24,2|7|22.03m|759k|2009|Austria|28.345 Seats|Allianz-Stadion|29|600k|5.00m|7.00m|1.00m|+6.00m
122|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2009|24,1|9|21.25m|708k|2009|Austria|17.500 Seats|Generali Arena|30|200k|Free transfer|0|200k|-200k
123|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2009|23,9|7|16.00m|516k|2009|Austria|16.364 Seats|Merkur Arena|31|Free transfer|300k|300k|0|+300k
124|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2010|24,3|23|47.83m|1.37m|2010|Austria|30.188 Seats|Red Bull Arena Salzburg|35|6.90m|7.00m|11.60m|19.30m|-7.70m
125|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2010|24,2|8|26.23m|846k|2010|Austria|28.345 Seats|Allianz-Stadion|31|300k|4.90m|4.90m|620k|+4.28m
126|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2010|24,1|9|23.58m|813k|2010|Austria|17.500 Seats|Generali Arena|29|400k|1.00m|1.00m|700k|+300k
127|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2010|25,6|7|12.88m|477k|2010|Austria|16.364 Seats|Merkur Arena|27|400k|1.30m|1.95m|450k|+1.50m
128|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2011|24,7|22|36.28m|1.10m|2011|Austria|30.188 Seats|Red Bull Arena Salzburg|34|1.20m|Free transfer|0|2.85m|-2.85m
129|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2011|23,6|7|22.00m|710k|2011|Austria|17.500 Seats|Generali Arena|32|300k|4.50m|6.40m|1.15m|+5.25m
130|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2011|25,0|6|16.53m|636k|2011|Austria|28.345 Seats|Allianz-Stadion|28|800k|1.05m|3.20m|1.05m|+2.15m
131|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2011|25,4|8|15.45m|483k|2011|Austria|16.364 Seats|Merkur Arena|32|Free transfer|1.00m|1.30m|0|+1.30m
132|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2012|24,0|21|38.40m|1.16m|2012|Austria|30.188 Seats|Red Bull Arena Salzburg|34|4.00m|1.50m|1.70m|15.98m|-14.28m
133|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2012|23,6|8|19.23m|663k|2012|Austria|17.500 Seats|Generali Arena|29|650k|2.50m|2.50m|1.15m|+1.35m
134|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2012|22,4|7|16.00m|471k|2012|Austria|28.345 Seats|Allianz-Stadion|35|350k|500k|1.00m|580k|+420k
135|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2012|23,9|6|13.75m|430k|2012|Austria|16.364 Seats|Merkur Arena|35|Free transfer|Free transfer|0|0|0
136|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2013|22,8|22|41.55m|1.19m|2013|Austria|30.188 Seats|Red Bull Arena Salzburg|35|2.00m|300k|550k|4.20m|-3.65m
137|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2013|23,5|8|22.95m|656k|2013|Austria|17.500 Seats|Generali Arena|38|200k|250k|250k|200k|+50k
138|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2013|22,6|8|15.60m|557k|2013|Austria|28.345 Seats|Allianz-Stadion|28|250k|Free transfer|0|250k|-250k
139|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2013|24,2|8|13.38m|446k|2013|Austria|16.364 Seats|Merkur Arena|34|1.00m|10k|10k|1.00m|-990k
140|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2014|22,1|24|67.55m|1.99m|2014|Austria|30.188 Seats|Red Bull Arena Salzburg|34|2.50m|23.00m|47.30m|7.30m|+40.00m
141|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2014|23,2|9|25.10m|697k|2014|Austria|17.500 Seats|Generali Arena|36|1.20m|7.00m|9.25m|3.42m|+5.83m
142|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2014|22,3|7|16.00m|593k|2014|Austria|28.345 Seats|Allianz-Stadion|27|750k|2.00m|4.70m|1.65m|+3.05m
143|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2014|23,1|12|14.25m|407k|2014|Austria|16.364 Seats|Merkur Arena|35|250k|2.50m|3.60m|250k|+3.35m
144|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2015|21,6|27|50.15m|1.36m|2015|Austria|30.188 Seats|Red Bull Arena Salzburg|37|2.70m|3.00m|8.60m|8.64m|-36k
145|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2015|22,8|10|21.50m|632k|2015|Austria|28.345 Seats|Allianz-Stadion|34|800k|7.50m|8.90m|2.00m|+6.90m
146|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2015|23,4|11|16.85m|544k|2015|Austria|17.500 Seats|Generali Arena|31|800k|700k|700k|1.59m|-885k
147|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2015|23,1|11|16.75m|508k|2015|Austria|16.364 Seats|Merkur Arena|33|450k|300k|300k|450k|-150k
148|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2016|22,1|32|57.65m|1.31m|2016|Austria|30.188 Seats|Red Bull Arena Salzburg|44|5.00m|29.75m|73.55m|9.45m|+64.10m
149|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2016|23,0|11|24.53m|663k|2016|Austria|28.345 Seats|Allianz-Stadion|37|2.30m|3.50m|5.15m|6.20m|-1.05m
150|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2016|22,8|13|19.15m|618k|2016|Austria|17.500 Seats|Generali Arena|31|500k|1.00m|1.00m|950k|+50k
151|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2016|23,2|8|13.45m|420k|2016|Austria|16.364 Seats|Merkur Arena|32|600k|3.00m|6.05m|800k|+5.25m
152|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2017|21,9|26|45.70m|1.24m|2017|Austria|30.188 Seats|Red Bull Arena Salzburg|37|1.00m|8.00m|17.00m|2.40m|+14.60m
153|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2017|23,4|14|25.15m|662k|2017|Austria|17.500 Seats|Generali Arena|38|750k|3.80m|5.55m|2.05m|+3.50m
154|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2017|22,9|10|23.60m|674k|2017|Austria|28.345 Seats|Allianz-Stadion|35|1.50m|8.10m|9.08m|3.10m|+5.98m
155|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2017|22,9|7|18.15m|519k|2017|Austria|16.364 Seats|Merkur Arena|35|250k|800k|1.80m|325k|+1.48m
156|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2018|22,2|31|117.15m|2.86m|2018|Austria|30.188 Seats|Red Bull Arena Salzburg|41|8.00m|19.00m|61.60m|16.25m|+45.35m
157|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2018|22,7|11|33.20m|897k|2018|Austria|28.345 Seats|Allianz-Stadion|37|1.50m|3.50m|9.70m|5.25m|+4.45m
158|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2018|23,1|11|25.00m|735k|2018|Austria|17.500 Seats|Generali Arena|34|Free transfer|400k|400k|0|+400k
159|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2018|23,3|7|24.45m|764k|2018|Austria|16.364 Seats|Merkur Arena|32|760k|2.50m|4.35m|1.06m|+3.29m
160|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2009|23,6|9|28.58m|840k|2009|Czech Republic|18.944 Seats|Generali Arena|34|400k|Free transfer|0|400k|-400k
161|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2009|24,1|15|27.09m|602k|2009|Czech Republic|20.617 Seats|Sinobo Stadium|0|1.20m|2.50m|0|0|0
162|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2009|24,8|7|14.73m|491k|2009|Czech Republic|18.221 Seats|AGC Aréna|30|Free transfer|Free transfer|0|0|0
163|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2009|24,2|6|12.63m|407k|2009|Czech Republic|5.000 Seats|Lokotrans Arena|31|200k|1.00m|1.00m|200k|+800k
164|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2009|23,7|8|12.00m|375k|2009|Czech Republic|9.900 Seats|Stadion U Nisy|32|Free transfer|Free transfer|0|0|0
165|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2009|24,4|3|10.48m|419k|2009|Czech Republic|11.700 Seats|Doosan Aréna|26|400k|Free transfer|0|400k|-400k
166|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2009|23,8|4|9.73m|335k|2009|Czech Republic|6.108 Seats|Støelnice|29|800k|1.20m|1.20m|1.55m|-350k
167|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2009|24,6|6|7.30m|215k|2009|Czech Republic|8.000 Seats|Mìstský fotbalový stadion Miroslava Valenty|34|Free transfer|Free transfer|0|0|0
168|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2010|24,6|10|27.73m|770k|2010|Czech Republic|18.944 Seats|Generali Arena|36|1.15m|4.00m|8.00m|1.98m|+6.02m
169|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2010|24,1|9|15.60m|422k|2010|Czech Republic|20.617 Seats|Sinobo Stadium|37|Free transfer|3.80m|5.58m|0|+5.58m
170|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2010|24,0|5|13.10m|437k|2010|Czech Republic|18.221 Seats|AGC Aréna|32|200k|Free transfer|0|200k|-200k
171|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2010|24,7|5|12.85m|378k|2010|Czech Republic|11.700 Seats|Doosan Aréna|36|700k|500k|500k|1.46m|-960k
172|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2010|23,9|10|12.03m|364k|2010|Czech Republic|5.000 Seats|Lokotrans Arena|33|100k|Free transfer|0|100k|-100k
173|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2010|24,7|7|11.15m|384k|2010|Czech Republic|9.900 Seats|Stadion U Nisy|29|450k|100k|100k|450k|-350k
174|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2010|24,8|3|10.63m|409k|2010|Czech Republic|6.108 Seats|Støelnice|26|100k|480k|480k|175k|+305k
175|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2010|23,5|5|5.33m|184k|2010|Czech Republic|8.000 Seats|Mìstský fotbalový stadion Miroslava Valenty|29|150k|Free transfer|0|225k|-225k
176|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2011|25,1|6|25.58m|710k|2011|Czech Republic|18.944 Seats|Generali Arena|36|600k|2.00m|2.48m|920k|+1.56m
177|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2011|26,0|5|16.45m|548k|2011|Czech Republic|11.700 Seats|Doosan Aréna|30|800k|3.50m|3.50m|1.40m|+2.10m
178|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2011|25,0|4|12.15m|392k|2011|Czech Republic|5.000 Seats|Lokotrans Arena|33|?|600k|600k|0|+600k
179|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2011|23,8|7|11.15m|372k|2011|Czech Republic|18.221 Seats|AGC Aréna|31|Free transfer|30k|30k|0|+30k
180|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2011|22,9|7|9.90m|275k|2011|Czech Republic|20.617 Seats|Sinobo Stadium|37|400k|900k|900k|400k|+500k
181|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2011|25,0|6|9.28m|371k|2011|Czech Republic|9.900 Seats|Stadion U Nisy|25|Free transfer|1.00m|1.80m|0|+1.80m
182|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2011|23,7|3|8.98m|345k|2011|Czech Republic|6.108 Seats|Støelnice|28|Free transfer|2.00m|3.00m|0|+3.00m
183|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2011|24,0|4|4.63m|149k|2011|Czech Republic|8.000 Seats|Mìstský fotbalový stadion Miroslava Valenty|31|?|Free transfer|0|0|0
184|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2012|23,8|7|26.28m|796k|2012|Czech Republic|18.944 Seats|Generali Arena|34|800k|450k|450k|1.42m|-970k
185|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2012|24,9|6|18.31m|610k|2012|Czech Republic|11.700 Seats|Doosan Aréna|32|800k|300k|520k|2.64m|-2.12m
186|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2012|25,6|7|14.70m|408k|2012|Czech Republic|5.000 Seats|Lokotrans Arena|37|Free transfer|Free transfer|0|0|0
187|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2012|24,5|13|12.68m|352k|2012|Czech Republic|9.900 Seats|Stadion U Nisy|39|Free transfer|1.80m|2.35m|0|+2.35m
188|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2012|24,9|9|11.28m|364k|2012|Czech Republic|20.617 Seats|Sinobo Stadium|36|500k|Free transfer|0|500k|-500k
189|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2012|24,8|8|11.23m|387k|2012|Czech Republic|18.221 Seats|AGC Aréna|33|120k|Free transfer|0|120k|-120k
190|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2012|24,7|3|10.70m|412k|2012|Czech Republic|6.108 Seats|Støelnice|27|Free transfer|800k|1.44m|0|+1.44m
191|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2012|24,0|5|6.78m|205k|2012|Czech Republic|8.000 Seats|Mìstský fotbalový stadion Miroslava Valenty|35|Free transfer|Free transfer|0|0|0
192|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2013|23,8|6|33.65m|841k|2013|Czech Republic|18.944 Seats|Generali Arena|42|1.10m|3.20m|4.10m|1.58m|+2.52m
193|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2013|25,4|7|28.93m|723k|2013|Czech Republic|11.700 Seats|Doosan Aréna|40|750k|4.00m|4.15m|1.35m|+2.80m
194|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2013|24,6|13|15.60m|371k|2013|Czech Republic|20.617 Seats|Sinobo Stadium|45|250k|1.00m|1.00m|250k|+750k
195|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2013|25,4|3|13.08m|319k|2013|Czech Republic|5.000 Seats|Lokotrans Arena|42|Free transfer|Free transfer|0|0|0
196|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2013|24,4|3|11.65m|333k|2013|Czech Republic|6.108 Seats|Støelnice|35|Free transfer|1.15m|1.15m|0|+1.15m
197|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2013|23,1|15|11.30m|290k|2013|Czech Republic|9.900 Seats|Stadion U Nisy|39|121k|700k|700k|121k|+579k
198|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2013|24,4|11|10.43m|298k|2013|Czech Republic|18.221 Seats|AGC Aréna|35|200k|Free transfer|0|200k|-200k
199|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2013|24,6|4|7.45m|219k|2013|Czech Republic|8.000 Seats|Mìstský fotbalový stadion Miroslava Valenty|36|Free transfer|?|0|0|0
200|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2014|25,3|8|34.10m|1.03m|2014|Czech Republic|18.944 Seats|Generali Arena|39|100k|2.00m|3.00m|100k|+2.90m
201|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2014|27,0|6|25.78m|955k|2014|Czech Republic|11.700 Seats|Doosan Aréna|33|700k|Free transfer|0|1.35m|-1.35m
202|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2014|24,7|6|13.13m|423k|2014|Czech Republic|6.108 Seats|Støelnice|31|Free transfer|Free transfer|0|0|0
203|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2014|24,2|13|12.28m|323k|2014|Czech Republic|5.000 Seats|Lokotrans Arena|38|Free transfer|Free transfer|0|0|0
204|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2014|23,8|18|12.20m|330k|2014|Czech Republic|9.900 Seats|Stadion U Nisy|39|Free transfer|Free transfer|0|0|0
205|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2014|23,8|11|11.05m|345k|2014|Czech Republic|20.617 Seats|Sinobo Stadium|39|Free transfer|550k|550k|0|+550k
206|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2014|24,4|9|9.73m|304k|2014|Czech Republic|18.221 Seats|AGC Aréna|33|Free transfer|400k|400k|0|+400k
207|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2014|23,3|6|5.70m|158k|2014|Czech Republic|8.000 Seats|Mìstský fotbalový stadion Miroslava Valenty|36|Free transfer|Free transfer|0|0|0
208|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2015|25,4|7|32.73m|935k|2015|Czech Republic|18.944 Seats|Generali Arena|47|500k|3.50m|4.10m|1.25m|+2.85m
209|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2015|26,8|5|24.75m|798k|2015|Czech Republic|11.700 Seats|Doosan Aréna|34|Free transfer|Free transfer|0|0|0
210|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2015|23,8|6|13.80m|383k|2015|Czech Republic|20.617 Seats|Sinobo Stadium|36|1.00m|Free transfer|0|3.60m|-3.60m
211|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2015|24,5|7|13.60m|358k|2015|Czech Republic|5.000 Seats|Lokotrans Arena|38|Free transfer|1.70m|2.50m|0|+2.50m
212|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2015|23,2|13|12.85m|338k|2015|Czech Republic|9.900 Seats|Stadion U Nisy|42|Free transfer|1.50m|1.50m|0|+1.50m
213|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2015|24,3|6|12.70m|454k|2015|Czech Republic|6.108 Seats|Støelnice|28|Free transfer|140k|140k|0|+140k
214|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2015|24,9|13|9.38m|260k|2015|Czech Republic|18.221 Seats|AGC Aréna|36|75k|Free transfer|0|75k|-75k
215|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2015|23,7|7|5.40m|169k|2015|Czech Republic|8.000 Seats|Mìstský fotbalový stadion Miroslava Valenty|32|Free transfer|Free transfer|0|0|0
216|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2016|23,4|11|35.43m|644k|2016|Czech Republic|18.944 Seats|Generali Arena|55|2.70m|8.50m|20.75m|5.95m|+14.80m
217|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2016|26,7|10|28.03m|801k|2016|Czech Republic|11.700 Seats|Doosan Aréna|35|750k|750k|2.10m|1.25m|+850k
218|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2016|24,1|13|19.40m|539k|2016|Czech Republic|20.617 Seats|Sinobo Stadium|36|1.40m|200k|400k|5.35m|-4.95m
219|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2016|23,3|4|12.90m|331k|2016|Czech Republic|6.108 Seats|Støelnice|39|Free transfer|1.10m|1.65m|0|+1.65m
220|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2016|23,8|10|12.43m|276k|2016|Czech Republic|9.900 Seats|Stadion U Nisy|45|400k|1.50m|2.52m|450k|+2.07m
221|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2016|24,7|7|11.58m|313k|2016|Czech Republic|5.000 Seats|Lokotrans Arena|37|200k|400k|400k|200k|+200k
222|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2016|23,9|9|8.65m|240k|2016|Czech Republic|18.221 Seats|AGC Aréna|36|Free transfer|550k|550k|0|+550k
223|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2016|23,0|9|6.65m|185k|2016|Czech Republic|8.000 Seats|Mìstský fotbalový stadion Miroslava Valenty|36|?|Free transfer|0|0|0
224|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2017|25,8|19|50.63m|1.37m|2017|Czech Republic|18.944 Seats|Generali Arena|37|3.75m|3.00m|9.50m|16.00m|-6.50m
225|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2017|26,6|15|36.80m|1.12m|2017|Czech Republic|20.617 Seats|Sinobo Stadium|33|1.00m|3.00m|9.13m|5.47m|+3.66m
226|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2017|26,8|6|23.95m|773k|2017|Czech Republic|11.700 Seats|Doosan Aréna|31|1.00m|2.50m|3.50m|2.00m|+1.50m
227|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2017|25,0|13|17.33m|403k|2017|Czech Republic|5.000 Seats|Lokotrans Arena|43|Free transfer|240k|240k|0|+240k
228|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2017|23,0|7|11.98m|324k|2017|Czech Republic|9.900 Seats|Stadion U Nisy|37|180k|1.50m|2.90m|180k|+2.72m
229|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2017|24,0|4|11.10m|336k|2017|Czech Republic|6.108 Seats|Støelnice|33|240k|1.50m|2.83m|240k|+2.59m
230|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2017|24,4|7|10.90m|303k|2017|Czech Republic|18.221 Seats|AGC Aréna|36|Free transfer|Free transfer|0|0|0
231|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2017|23,7|4|6.10m|218k|2017|Czech Republic|8.000 Seats|Mìstský fotbalový stadion Miroslava Valenty|28|Free transfer|800k|800k|0|+800k
232|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2018|24,2|19|42.83m|973k|2018|Czech Republic|18.944 Seats|Generali Arena|44|1.65m|10.00m|14.16m|3.69m|+10.48m
233|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2018|23,6|16|40.70m|904k|2018|Czech Republic|20.617 Seats|Sinobo Stadium|45|3.20m|350k|450k|11.44m|-10.99m
234|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2018|26,4|9|32.60m|836k|2018|Czech Republic|11.700 Seats|Doosan Aréna|39|600k|Free transfer|0|600k|-600k
235|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2018|23,7|12|16.00m|364k|2018|Czech Republic|5.000 Seats|Lokotrans Arena|44|400k|Free transfer|0|400k|-400k
236|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2018|24,1|8|13.50m|422k|2018|Czech Republic|6.108 Seats|Støelnice|32|1.00m|850k|2.02m|1.48m|+540k
237|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2018|23,0|13|12.10m|295k|2018|Czech Republic|9.900 Seats|Stadion U Nisy|41|155k|1.00m|1.70m|155k|+1.55m
238|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2018|23,8|5|8.93m|229k|2018|Czech Republic|18.221 Seats|AGC Aréna|39|Free transfer|900k|900k|0|+900k
239|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2018|24,6|5|8.13m|239k|2018|Czech Republic|8.000 Seats|Mìstský fotbalový stadion Miroslava Valenty|34|Free transfer|Free transfer|0|0|0
240|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2009|24,3|11|29.25m|886k|2009|Poland|33.130 Seats|Stadion Miejski im. Henryka Reymana|34|450k|200k|250k|550k|-300k
241|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2009|24,4|8|28.73m|898k|2009|Poland|30.967 Seats|Stadion Miejski im. Marsza³ka Józefa Pi³sudskiego|33|70k|500k|1.01m|70k|+938k
242|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2009|23,5|13|20.65m|688k|2009|Poland|42.837 Seats|Stadion Poznañ|30|430k|3.20m|3.50m|1.40m|+2.10m
243|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2009|25,8|6|9.65m|261k|2009|Poland|15.500 Seats|Suzuki Arena|37|50k|60k|60k|163k|-103k
244|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2009|24,3|4|9.58m|330k|2009|Poland|42.771 Seats|Stadion Miejski|29|200k|75k|75k|200k|-125k
245|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2009|24,5|11|7.75m|209k|2009|Poland|22.432 Seats|Stadion Miejski|37|200k|60k|70k|475k|-405k
246|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2009|25,5|5|4.38m|151k|2009|Poland|43.615 Seats|Stadion Energa Gdañsk|29|200k|20k|20k|350k|-330k
247|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2010|23,7|15|30.13m|861k|2010|Poland|30.967 Seats|Stadion Miejski im. Marsza³ka Józefa Pi³sudskiego|35|800k|250k|620k|2.72m|-2.10m
248|Wisla Kraków|/wisla-krakau/startseite/verein/422/saison_id/2010|25,1|18|30.00m|789k|2010|Poland|33.130 Seats|Stadion Miejski im. Henryka Reymana|38|675k|3.80m|8.33m|2.21m|+6.12m
249|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2010|24,4|11|26.53m|780k|2010|Poland|42.837 Seats|Stadion Poznañ|34|1.00m|4.75m|5.33m|2.98m|+2.35m
250|Korona Kielce|/korona-kielce/startseite/verein/6110/saison_id/2010|25,5|8|14.53m|427k|2010|Poland|15.500 Seats|Suzuki Arena|34|150k|250k|425k|285k|+140k
251|Slask Wroclaw|/slask-wroclaw/startseite/verein/759/saison_id/2010|25,6|6|12.58m|419k|2010|Poland|42.771 Seats|Stadion Miejski|30|275k|75k|75k|380k|-305k
252|Jagiellonia|/jagiellonia-bialystok/startseite/verein/2300/saison_id/2010|23,3|13|9.28m|273k|2010|Poland|22.432 Seats|Stadion Miejski|34|350k|900k|1.28m|783k|+498k
253|Lechia Gdansk|/lechia-gdansk/startseite/verein/4000/saison_id/2010|24,4|10|8.75m|313k|2010|Poland|43.615 Seats|Stadion Energa Gdañsk|28|215k|140k|330k|590k|-260k
254|Legia Warszawa|/legia-warschau/startseite/verein/255/saison_id/2011|24,2|15|31.45m|850k|2011|Poland|30.967 Seats|Stadion Miejski im. Marsza³ka Józefa Pi³sudskiego|37|50k|3.20m|6.11m|50k|+6.06m
255|Lech Poznan|/lech-pozna%C5%84/startseite/verein/238/saison_id/2011|24,0|11|26.03m|929k|2011|Poland|42.837 Seats|Stadion Poznañ|29|350k|200k|370k|350k|+20k
