|Team|Link|Age|AbroadPlayers|Value|Difference|Year|Country|StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
30|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2013|20,1|12|16.25m|319k|2013|Croatia|34.183 Seats|Poljud|51|Free transfer|1.00m|1.22m|0|+1.22m
31|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2013|23,5|2|11.50m|371k|2013|Croatia|5.000 Seats|Gradski Stadion Ivan Kusek Apas|32|Free transfer|1.50m|2.10m|0|+2.10m
32|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2013|21,4|4|10.05m|251k|2013|Croatia|8.850 Seats|Kranjceviceva|42|Free transfer|1.00m|1.00m|0|+1.00m
33|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2013|22,5|11|8.60m|191k|2013|Croatia|9.056 Seats|Aldo Drosina|47|Free transfer|350k|1.02m|0|+1.02m
34|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2013|22,2|2|7.65m|213k|2013|Croatia|18.856 Seats|Gradski vrt|36|Free transfer|190k|190k|0|+190k
35|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2014|23,2|19|59.18m|1.44m|2014|Croatia|35.123 Seats|Maksimir|41|2.50m|5.00m|9.93m|9.05m|+880k
36|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2014|23,8|17|33.23m|738k|2014|Croatia|8.136 Seats|Stadion Rujevica|45|550k|9.00m|9.50m|1.85m|+7.65m
37|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2014|21,2|13|19.80m|460k|2014|Croatia|34.183 Seats|Poljud|43|Free transfer|2.50m|6.09m|0|+6.09m
38|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2014|21,1|4|12.58m|314k|2014|Croatia|8.850 Seats|Kranjceviceva|40|Free transfer|1.00m|2.28m|0|+2.28m
39|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2014|22,5|16|11.23m|229k|2014|Croatia|9.056 Seats|Aldo Drosina|49|Free transfer|230k|340k|0|+340k
40|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2014|23,3|3|9.83m|273k|2014|Croatia|5.000 Seats|Gradski Stadion Ivan Kusek Apas|36|Free transfer|350k|850k|0|+850k
41|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2014|22,9|9|9.65m|224k|2014|Croatia|18.856 Seats|Gradski vrt|43|Free transfer|250k|250k|0|+250k
42|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2015|21,8|19|54.70m|1.12m|2015|Croatia|35.123 Seats|Maksimir|49|5.00m|7.50m|13.90m|9.30m|+4.61m
43|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2015|23,7|19|35.95m|856k|2015|Croatia|8.136 Seats|Stadion Rujevica|42|600k|2.60m|6.95m|1.22m|+5.74m
44|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2015|21,0|12|21.70m|556k|2015|Croatia|34.183 Seats|Poljud|39|Free transfer|3.00m|6.00m|0|+6.00m
45|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2015|21,0|7|11.03m|251k|2015|Croatia|8.850 Seats|Kranjceviceva|44|65k|Free transfer|0|130k|-130k
46|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2015|23,7|18|10.35m|252k|2015|Croatia|9.056 Seats|Aldo Drosina|41|Free transfer|Free transfer|0|0|0
47|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2015|23,7|6|9.40m|285k|2015|Croatia|5.000 Seats|Gradski Stadion Ivan Kusek Apas|33|Free transfer|400k|750k|0|+750k
48|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2015|22,7|4|6.78m|178k|2015|Croatia|18.856 Seats|Gradski vrt|38|Free transfer|150k|150k|0|+150k
49|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2016|23,0|18|75.70m|1.54m|2016|Croatia|35.123 Seats|Maksimir|49|1.60m|23.00m|41.15m|5.46m|+35.69m
50|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2016|23,0|22|29.43m|654k|2016|Croatia|8.136 Seats|Stadion Rujevica|45|150k|4.20m|15.10m|150k|+14.95m
51|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2016|22,0|17|27.18m|647k|2016|Croatia|34.183 Seats|Poljud|42|375k|3.00m|8.40m|607k|+7.79m
