,teams,links,age,a_players,value,difference,year
53,Rad,/fk-rad-belgrad/startseite/verein/902/saison_id/2010,"20,9",4,€9.70m,€285k,2010
54,Spartak,/fk-spartak-subotica/startseite/verein/15276/saison_id/2010,"22,6",6,€8.25m,€258k,2010
55,Red Star,/roter-stern-belgrad/startseite/verein/159/saison_id/2011,"22,1",12,€28.88m,€722k,2011
56,Vojvodina,/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2011,"22,2",15,€22.75m,€615k,2011
57,Partizan,/fk-partizan-belgrad/startseite/verein/669/saison_id/2011,"23,8",8,€22.68m,€756k,2011
58,Rad,/fk-rad-belgrad/startseite/verein/902/saison_id/2011,"21,2",4,€11.43m,€309k,2011
59,OFK Beograd,/ofk-belgrad/startseite/verein/53/saison_id/2011,"21,4",11,€11.20m,€260k,2011
60,Spartak,/fk-spartak-subotica/startseite/verein/15276/saison_id/2011,"22,1",2,€8.70m,€281k,2011
61,Jagodina,/fk-jagodina/startseite/verein/12132/saison_id/2011,"22,7",7,€7.38m,€194k,2011
62,Partizan,/fk-partizan-belgrad/startseite/verein/669/saison_id/2012,"22,7",8,€33.60m,€862k,2012
63,Red Star,/roter-stern-belgrad/startseite/verein/159/saison_id/2012,"21,1",11,€26.50m,€679k,2012
64,Vojvodina,/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2012,"22,7",15,€19.30m,€522k,2012
65,OFK Beograd,/ofk-belgrad/startseite/verein/53/saison_id/2012,"21,0",13,€11.10m,€258k,2012
66,Rad,/fk-rad-belgrad/startseite/verein/902/saison_id/2012,"20,1",3,€10.40m,€248k,2012
67,Jagodina,/fk-jagodina/startseite/verein/12132/saison_id/2012,"24,4",9,€9.15m,€247k,2012
68,Spartak,/fk-spartak-subotica/startseite/verein/15276/saison_id/2012,"23,0",3,€8.45m,€313k,2012
69,Partizan,/fk-partizan-belgrad/startseite/verein/669/saison_id/2013,"23,0",8,€34.85m,€792k,2013
70,Red Star,/roter-stern-belgrad/startseite/verein/159/saison_id/2013,"23,3",10,€28.45m,€749k,2013
71,Vojvodina,/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2013,"21,9",16,€17.68m,€347k,2013
72,Rad,/fk-rad-belgrad/startseite/verein/902/saison_id/2013,"21,4",9,€12.90m,€258k,2013
73,OFK Beograd,/ofk-belgrad/startseite/verein/53/saison_id/2013,"21,8",8,€10.28m,€214k,2013
74,Jagodina,/fk-jagodina/startseite/verein/12132/saison_id/2013,"23,7",10,€10.05m,€258k,2013
75,Spartak,/fk-spartak-subotica/startseite/verein/15276/saison_id/2013,"22,3",6,€7.65m,€207k,2013
76,Partizan,/fk-partizan-belgrad/startseite/verein/669/saison_id/2014,"23,3",8,€24.70m,€633k,2014
77,Red Star,/roter-stern-belgrad/startseite/verein/159/saison_id/2014,"23,3",7,€19.95m,€525k,2014
78,Jagodina,/fk-jagodina/startseite/verein/12132/saison_id/2014,"22,9",9,€9.10m,€228k,2014
79,OFK Beograd,/ofk-belgrad/startseite/verein/53/saison_id/2014,"20,3",7,€8.60m,€195k,2014
80,Vojvodina,/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2014,"21,9",8,€8.15m,€220k,2014
81,Rad,/fk-rad-belgrad/startseite/verein/902/saison_id/2014,"22,4",7,€7.35m,€216k,2014
82,Spartak,/fk-spartak-subotica/startseite/verein/15276/saison_id/2014,"21,7",3,€5.35m,€162k,2014
83,Partizan,/fk-partizan-belgrad/startseite/verein/669/saison_id/2015,"23,0",12,€26.50m,€589k,2015
84,Red Star,/roter-stern-belgrad/startseite/verein/159/saison_id/2015,"24,2",15,€25.43m,€687k,2015
85,Vojvodina,/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2015,"23,6",7,€12.85m,€313k,2015
86,OFK Beograd,/ofk-belgrad/startseite/verein/53/saison_id/2015,"22,2",11,€10.60m,€204k,2015
87,Spartak,/fk-spartak-subotica/startseite/verein/15276/saison_id/2015,"23,0",5,€8.35m,€220k,2015
88,Rad,/fk-rad-belgrad/startseite/verein/902/saison_id/2015,"24,4",2,€7.93m,€203k,2015
89,Jagodina,/fk-jagodina/startseite/verein/12132/saison_id/2015,"22,4",6,€6.95m,€154k,2015
90,RB Salzburg,/red-bull-salzburg/startseite/verein/409/saison_id/2010,"24,3",23,€47.83m,€1.37m,2010
91,Rapid Vienna,/sk-rapid-wien/startseite/verein/170/saison_id/2010,"24,2",8,€26.23m,€846k,2010
92,Austria Vienna,/fk-austria-wien/startseite/verein/14/saison_id/2010,"24,1",9,€23.58m,€813k,2010
93,Sturm Graz,/sk-sturm-graz/startseite/verein/122/saison_id/2010,"25,6",7,€12.88m,€477k,2010
94,SV Ried,/sv-ried/startseite/verein/266/saison_id/2010,"23,4",6,€7.63m,€272k,2010
95,RB Salzburg,/red-bull-salzburg/startseite/verein/409/saison_id/2011,"24,7",22,€36.28m,€1.10m,2011
96,Austria Vienna,/fk-austria-wien/startseite/verein/14/saison_id/2011,"23,6",7,€22.00m,€710k,2011
97,Rapid Vienna,/sk-rapid-wien/startseite/verein/170/saison_id/2011,"25,0",6,€16.53m,€636k,2011
98,Sturm Graz,/sk-sturm-graz/startseite/verein/122/saison_id/2011,"25,4",8,€15.45m,€483k,2011
99,SV Ried,/sv-ried/startseite/verein/266/saison_id/2011,"22,7",6,€9.30m,€321k,2011
100,RB Salzburg,/red-bull-salzburg/startseite/verein/409/saison_id/2012,"24,0",21,€38.40m,€1.16m,2012
101,Austria Vienna,/fk-austria-wien/startseite/verein/14/saison_id/2012,"23,6",8,€19.23m,€663k,2012
102,Rapid Vienna,/sk-rapid-wien/startseite/verein/170/saison_id/2012,"22,4",7,€16.00m,€471k,2012
103,Sturm Graz,/sk-sturm-graz/startseite/verein/122/saison_id/2012,"23,9",6,€13.75m,€430k,2012
104,SV Ried,/sv-ried/startseite/verein/266/saison_id/2012,"22,4",4,€9.90m,€354k,2012
105,RB Salzburg,/red-bull-salzburg/startseite/verein/409/saison_id/2013,"22,8",22,€41.55m,€1.19m,2013
106,Austria Vienna,/fk-austria-wien/startseite/verein/14/saison_id/2013,"23,5",8,€22.95m,€656k,2013
107,Rapid Vienna,/sk-rapid-wien/startseite/verein/170/saison_id/2013,"22,6",8,€15.60m,€557k,2013
108,Sturm Graz,/sk-sturm-graz/startseite/verein/122/saison_id/2013,"24,2",8,€13.38m,€446k,2013
109,SV Ried,/sv-ried/startseite/verein/266/saison_id/2013,"22,3",4,€10.55m,€330k,2013
110,RB Salzburg,/red-bull-salzburg/startseite/verein/409/saison_id/2014,"22,1",24,€67.55m,€1.99m,2014
111,Austria Vienna,/fk-austria-wien/startseite/verein/14/saison_id/2014,"23,2",9,€25.10m,€697k,2014
112,Rapid Vienna,/sk-rapid-wien/startseite/verein/170/saison_id/2014,"22,3",7,€16.00m,€593k,2014
113,Sturm Graz,/sk-sturm-graz/startseite/verein/122/saison_id/2014,"23,1",12,€14.25m,€407k,2014
114,SV Ried,/sv-ried/startseite/verein/266/saison_id/2014,"22,4",5,€9.50m,€328k,2014
115,RB Salzburg,/red-bull-salzburg/startseite/verein/409/saison_id/2015,"21,6",27,€50.15m,€1.36m,2015
116,Rapid Vienna,/sk-rapid-wien/startseite/verein/170/saison_id/2015,"22,8",10,€21.50m,€632k,2015
117,Austria Vienna,/fk-austria-wien/startseite/verein/14/saison_id/2015,"23,4",11,€16.85m,€544k,2015
118,Sturm Graz,/sk-sturm-graz/startseite/verein/122/saison_id/2015,"23,1",11,€16.75m,€508k,2015
119,SV Ried,/sv-ried/startseite/verein/266/saison_id/2015,"22,8",6,€9.63m,€301k,2015
120,Sparta Praha,/ac-sparta-prag/startseite/verein/197/saison_id/2010,"24,6",10,€27.73m,€770k,2010
121,Slavia Prague,/sk-slavia-prag/startseite/verein/62/saison_id/2010,"24,1",9,€15.60m,€422k,2010
122,FK Teplice,/fk-teplice/startseite/verein/814/saison_id/2010,"24,0",5,€13.10m,€437k,2010
123,Viktoria Plzen,/fc-viktoria-pilsen/startseite/verein/941/saison_id/2010,"24,7",5,€12.85m,€378k,2010
124,Mladá Boleslav,/fk-mlada-boleslav/startseite/verein/5546/saison_id/2010,"23,9",10,€12.03m,€364k,2010
125,Slovan Liberec,/fc-slovan-liberec/startseite/verein/697/saison_id/2010,"24,7",7,€11.15m,€384k,2010
126,Banik Ostrava,/fc-banik-ostrava/startseite/verein/377/saison_id/2010,"23,4",7,€10.90m,€341k,2010
