,teams,links,age,a_players,value,difference,year
238,Steaua Bukarest,/steaua-bukarest/startseite/verein/301/saison_id/2011,"24,1",8,€35.73m,€1.02m,2011
239,CFR Cluj,/cfr-cluj/startseite/verein/7769/saison_id/2011,"26,8",23,€34.15m,€1.03m,2011
240,Dinamo Bukarest,/dinamo-bukarest/startseite/verein/312/saison_id/2011,"24,9",6,€25.03m,€736k,2011
241,Pandurii T.-Jiu,/pandurii-targu-jiu/startseite/verein/8715/saison_id/2011,"23,0",6,€9.05m,€266k,2011
242,CFR Cluj,/cfr-cluj/startseite/verein/7769/saison_id/2012,"26,6",26,€36.45m,€959k,2012
243,Steaua Bukarest,/steaua-bukarest/startseite/verein/301/saison_id/2012,"23,8",7,€35.70m,€1.05m,2012
244,Dinamo Bukarest,/dinamo-bukarest/startseite/verein/312/saison_id/2012,"23,9",6,€23.48m,€652k,2012
245,Pandurii T.-Jiu,/pandurii-targu-jiu/startseite/verein/8715/saison_id/2012,"23,5",8,€14.18m,€443k,2012
246,Steaua Bukarest,/steaua-bukarest/startseite/verein/301/saison_id/2013,"23,6",8,€53.40m,€1.21m,2013
247,CFR Cluj,/cfr-cluj/startseite/verein/7769/saison_id/2013,"25,1",24,€32.35m,€789k,2013
248,Dinamo Bukarest,/dinamo-bukarest/startseite/verein/312/saison_id/2013,"22,4",13,€24.88m,€529k,2013
249,Pandurii T.-Jiu,/pandurii-targu-jiu/startseite/verein/8715/saison_id/2013,"23,8",19,€23.15m,€526k,2013
250,Steaua Bukarest,/steaua-bukarest/startseite/verein/301/saison_id/2014,"23,9",5,€46.30m,€1.25m,2014
251,Dinamo Bukarest,/dinamo-bukarest/startseite/verein/312/saison_id/2014,"23,0",13,€25.95m,€552k,2014
252,Pandurii T.-Jiu,/pandurii-targu-jiu/startseite/verein/8715/saison_id/2014,"24,6",15,€22.35m,€604k,2014
253,CFR Cluj,/cfr-cluj/startseite/verein/7769/saison_id/2014,"23,2",23,€18.05m,€392k,2014
254,Steaua Bukarest,/steaua-bukarest/startseite/verein/301/saison_id/2015,"24,1",13,€39.73m,€1.02m,2015
255,Dinamo Bukarest,/dinamo-bukarest/startseite/verein/312/saison_id/2015,"23,0",16,€21.53m,€501k,2015
256,Pandurii T.-Jiu,/pandurii-targu-jiu/startseite/verein/8715/saison_id/2015,"25,3",11,€20.10m,€543k,2015
257,CFR Cluj,/cfr-cluj/startseite/verein/7769/saison_id/2015,"25,0",17,€13.98m,€437k,2015
258,M. Tel Aviv,/maccabi-tel-aviv/startseite/verein/119/saison_id/2010,"24,5",6,€15.95m,€515k,2010
259,Hapoel Tel Aviv,/hapoel-tel-aviv/startseite/verein/1017/saison_id/2010,"24,7",5,€15.78m,€544k,2010
260,Maccabi Haifa,/maccabi-haifa/startseite/verein/1064/saison_id/2010,"23,6",9,€15.48m,€595k,2010
261,B. Jerusalem,/beitar-jerusalem/startseite/verein/3793/saison_id/2010,"24,2",6,€11.15m,€360k,2010
262,Bnei Sakhnin,/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2010,"25,5",8,€5.83m,€216k,2010
263,H. Beer Sheva,/hapoel-beer-sheva/startseite/verein/2976/saison_id/2010,"23,9",7,€4.53m,€137k,2010
264,Hapoel Haifa,/hapoel-haifa/startseite/verein/810/saison_id/2010,"24,3",3,€3.38m,€147k,2010
265,Hapoel Acre,/hapoel-akko/startseite/verein/6025/saison_id/2010,"24,0",5,€3.38m,€116k,2010
266,Kiryat Shmona,/hapoel-ironi-kiryat-shmona/startseite/verein/6028/saison_id/2010,"23,9",4,€1.20m,€46k,2010
267,Maccabi Haifa,/maccabi-haifa/startseite/verein/1064/saison_id/2011,"22,8",10,€17.60m,€503k,2011
268,Hapoel Tel Aviv,/hapoel-tel-aviv/startseite/verein/1017/saison_id/2011,"25,2",6,€14.80m,€529k,2011
269,M. Tel Aviv,/maccabi-tel-aviv/startseite/verein/119/saison_id/2011,"22,8",6,€11.50m,€348k,2011
270,Hapoel Haifa,/hapoel-haifa/startseite/verein/810/saison_id/2011,"24,3",6,€7.45m,€233k,2011
271,B. Jerusalem,/beitar-jerusalem/startseite/verein/3793/saison_id/2011,"22,6",5,€7.05m,€227k,2011
272,H. Beer Sheva,/hapoel-beer-sheva/startseite/verein/2976/saison_id/2011,"23,6",9,€6.18m,€193k,2011
273,Hapoel Acre,/hapoel-akko/startseite/verein/6025/saison_id/2011,"24,2",7,€5.30m,€166k,2011
274,Kiryat Shmona,/hapoel-ironi-kiryat-shmona/startseite/verein/6028/saison_id/2011,"23,7",4,€3.63m,€129k,2011
275,Bnei Sakhnin,/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2011,"24,1",4,€3.25m,€125k,2011
276,Hapoel Tel Aviv,/hapoel-tel-aviv/startseite/verein/1017/saison_id/2012,"24,6",10,€19.68m,€532k,2012
277,M. Tel Aviv,/maccabi-tel-aviv/startseite/verein/119/saison_id/2012,"24,8",6,€16.43m,€657k,2012
278,Maccabi Haifa,/maccabi-haifa/startseite/verein/1064/saison_id/2012,"23,5",7,€12.83m,€428k,2012
279,Kiryat Shmona,/hapoel-ironi-kiryat-shmona/startseite/verein/6028/saison_id/2012,"24,3",7,€7.85m,€238k,2012
280,B. Jerusalem,/beitar-jerusalem/startseite/verein/3793/saison_id/2012,"22,8",5,€6.55m,€218k,2012
281,Hapoel Haifa,/hapoel-haifa/startseite/verein/810/saison_id/2012,"24,7",7,€6.48m,€209k,2012
282,H. Beer Sheva,/hapoel-beer-sheva/startseite/verein/2976/saison_id/2012,"23,6",7,€5.85m,€189k,2012
283,Bnei Sakhnin,/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2012,"23,9",8,€5.78m,€186k,2012
284,Hapoel Acre,/hapoel-akko/startseite/verein/6025/saison_id/2012,"25,9",7,€5.63m,€181k,2012
285,M. Tel Aviv,/maccabi-tel-aviv/startseite/verein/119/saison_id/2013,"25,5",6,€14.55m,€560k,2013
286,Maccabi Haifa,/maccabi-haifa/startseite/verein/1064/saison_id/2013,"23,5",7,€13.48m,€408k,2013
287,B. Jerusalem,/beitar-jerusalem/startseite/verein/3793/saison_id/2013,"23,7",9,€11.60m,€305k,2013
288,Hapoel Tel Aviv,/hapoel-tel-aviv/startseite/verein/1017/saison_id/2013,"24,7",7,€11.25m,€363k,2013
289,H. Beer Sheva,/hapoel-beer-sheva/startseite/verein/2976/saison_id/2013,"24,9",7,€9.65m,€371k,2013
290,Bnei Sakhnin,/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2013,"24,9",8,€8.95m,€249k,2013
291,Kiryat Shmona,/hapoel-ironi-kiryat-shmona/startseite/verein/6028/saison_id/2013,"24,6",5,€7.68m,€265k,2013
292,Hapoel Acre,/hapoel-akko/startseite/verein/6025/saison_id/2013,"25,8",9,€7.33m,€193k,2013
293,Hapoel Haifa,/hapoel-haifa/startseite/verein/810/saison_id/2013,"25,9",7,€5.90m,€184k,2013
294,Maccabi Haifa,/maccabi-haifa/startseite/verein/1064/saison_id/2014,"27,2",9,€21.45m,€650k,2014
295,M. Tel Aviv,/maccabi-tel-aviv/startseite/verein/119/saison_id/2014,"25,8",6,€17.50m,€625k,2014
296,Hapoel Tel Aviv,/hapoel-tel-aviv/startseite/verein/1017/saison_id/2014,"23,8",9,€11.83m,€282k,2014
297,B. Jerusalem,/beitar-jerusalem/startseite/verein/3793/saison_id/2014,"25,2",7,€10.43m,€298k,2014
298,H. Beer Sheva,/hapoel-beer-sheva/startseite/verein/2976/saison_id/2014,"25,2",6,€10.10m,€348k,2014
299,Hapoel Haifa,/hapoel-haifa/startseite/verein/810/saison_id/2014,"24,9",8,€6.10m,€169k,2014
300,Hapoel Acre,/hapoel-akko/startseite/verein/6025/saison_id/2014,"25,5",9,€6.05m,€155k,2014
301,Bnei Sakhnin,/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2014,"24,0",7,€5.25m,€135k,2014
302,Kiryat Shmona,/hapoel-ironi-kiryat-shmona/startseite/verein/6028/saison_id/2014,"23,8",5,€5.18m,€162k,2014
303,M. Tel Aviv,/maccabi-tel-aviv/startseite/verein/119/saison_id/2015,"26,7",8,€26.45m,€912k,2015
304,Maccabi Haifa,/maccabi-haifa/startseite/verein/1064/saison_id/2015,"25,4",6,€20.70m,€609k,2015
305,Hapoel Tel Aviv,/hapoel-tel-aviv/startseite/verein/1017/saison_id/2015,"23,8",8,€14.18m,€405k,2015
306,B. Jerusalem,/beitar-jerusalem/startseite/verein/3793/saison_id/2015,"24,8",6,€12.28m,€396k,2015
307,H. Beer Sheva,/hapoel-beer-sheva/startseite/verein/2976/saison_id/2015,"26,8",4,€11.33m,€453k,2015
308,Hapoel Haifa,/hapoel-haifa/startseite/verein/810/saison_id/2015,"25,2",7,€6.85m,€221k,2015
309,Bnei Sakhnin,/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2015,"25,0",7,€4.53m,€156k,2015
310,Kiryat Shmona,/hapoel-ironi-kiryat-shmona/startseite/verein/6028/saison_id/2015,"23,7",8,€4.50m,€150k,2015
311,Hapoel Acre,/hapoel-akko/startseite/verein/6025/saison_id/2015,"22,6",7,€3.33m,€107k,2015
312,Levski Sofia,/levski-sofia/startseite/verein/156/saison_id/2010,"23,3",11,€14.13m,€362k,2010
313,Litex Lovetch,/fc-litex-lovetch/startseite/verein/271/saison_id/2010,"24,1",13,€12.70m,€410k,2010
314,Slavia Sofia,/slavia-sofia/startseite/verein/675/saison_id/2010,"23,4",10,€8.58m,€204k,2010
315,Lok. Plovdiv,/lokomotive-plovdiv/startseite/verein/2259/saison_id/2010,"25,2",16,€6.55m,€187k,2010
316,Cherno More,/cherno-more-varna/startseite/verein/967/saison_id/2010,"24,5",6,€5.23m,€163k,2010
317,PFC Beroe Stara Zagora,/pfc-beroe-stara-zagora/startseite/verein/6764/saison_id/2010,"24,9",2,€2.75m,€71k,2010
318,Levski Sofia,/levski-sofia/startseite/verein/156/saison_id/2011,"23,3",11,€16.00m,€457k,2011
319,Litex Lovetch,/fc-litex-lovetch/startseite/verein/271/saison_id/2011,"23,4",13,€11.20m,€311k,2011
320,Slavia Sofia,/slavia-sofia/startseite/verein/675/saison_id/2011,"24,1",6,€9.13m,€240k,2011
321,PFC Beroe Stara Zagora,/pfc-beroe-stara-zagora/startseite/verein/6764/saison_id/2011,"26,4",7,€7.80m,€170k,2011
322,Lok. Plovdiv,/lokomotive-plovdiv/startseite/verein/2259/saison_id/2011,"25,4",12,€7.40m,€218k,2011
323,Cherno More,/cherno-more-varna/startseite/verein/967/saison_id/2011,"24,5",6,€4.33m,€111k,2011
324,Slavia Sofia,/slavia-sofia/startseite/verein/675/saison_id/2012,"26,2",8,€14.10m,€362k,2012
325,Levski Sofia,/levski-sofia/startseite/verein/156/saison_id/2012,"23,2",11,€13.40m,€372k,2012
326,Lok. Plovdiv,/lokomotive-plovdiv/startseite/verein/2259/saison_id/2012,"26,0",10,€12.60m,€257k,2012
327,PFC Beroe Stara Zagora,/pfc-beroe-stara-zagora/startseite/verein/6764/saison_id/2012,"24,9",13,€9.65m,€276k,2012
328,Litex Lovetch,/fc-litex-lovetch/startseite/verein/271/saison_id/2012,"21,7",6,€9.58m,€319k,2012
329,Cherno More,/cherno-more-varna/startseite/verein/967/saison_id/2012,"24,3",6,€7.33m,€244k,2012
330,Levski Sofia,/levski-sofia/startseite/verein/156/saison_id/2013,"23,5",16,€27.80m,€579k,2013
331,Litex Lovetch,/fc-litex-lovetch/startseite/verein/271/saison_id/2013,"23,1",7,€14.98m,€440k,2013
332,PFC Beroe Stara Zagora,/pfc-beroe-stara-zagora/startseite/verein/6764/saison_id/2013,"24,7",11,€12.15m,€347k,2013
333,Lok. Plovdiv,/lokomotive-plovdiv/startseite/verein/2259/saison_id/2013,"25,2",10,€11.20m,€249k,2013
334,Slavia Sofia,/slavia-sofia/startseite/verein/675/saison_id/2013,"24,3",8,€10.18m,€254k,2013
335,Cherno More,/cherno-more-varna/startseite/verein/967/saison_id/2013,"23,6",3,€7.95m,€284k,2013
336,Levski Sofia,/levski-sofia/startseite/verein/156/saison_id/2014,"23,9",11,€16.70m,€439k,2014
337,Litex Lovetch,/fc-litex-lovetch/startseite/verein/271/saison_id/2014,"22,3",11,€16.13m,€424k,2014
338,PFC Beroe Stara Zagora,/pfc-beroe-stara-zagora/startseite/verein/6764/saison_id/2014,"25,3",11,€10.75m,€358k,2014
339,Slavia Sofia,/slavia-sofia/startseite/verein/675/saison_id/2014,"23,7",9,€9.80m,€251k,2014
340,Cherno More,/cherno-more-varna/startseite/verein/967/saison_id/2014,"23,9",10,€9.63m,€235k,2014
341,Lok. Plovdiv,/lokomotive-plovdiv/startseite/verein/2259/saison_id/2014,"24,7",6,€7.23m,€185k,2014
342,Litex Lovetch,/fc-litex-lovetch/startseite/verein/271/saison_id/2015,"22,2",10,€13.50m,€397k,2015
343,Levski Sofia,/levski-sofia/startseite/verein/156/saison_id/2015,"23,3",14,€12.88m,€358k,2015
344,PFC Beroe Stara Zagora,/pfc-beroe-stara-zagora/startseite/verein/6764/saison_id/2015,"24,9",8,€12.18m,€320k,2015
345,Cherno More,/cherno-more-varna/startseite/verein/967/saison_id/2015,"25,6",12,€9.95m,€293k,2015
346,Lok. Plovdiv,/lokomotive-plovdiv/startseite/verein/2259/saison_id/2015,"25,4",10,€9.78m,€238k,2015
347,Slavia Sofia,/slavia-sofia/startseite/verein/675/saison_id/2015,"22,7",9,€6.93m,€182k,2015
348,FC Copenhagen,/fc-kopenhagen/startseite/verein/190/saison_id/2010,"24,9",14,€43.10m,€1.49m,2010
349,Odense BK,/odense-boldklub/startseite/verein/173/saison_id/2010,"25,2",13,€31.10m,€889k,2010
350,Bröndby IF,/brondby-if/startseite/verein/206/saison_id/2010,"24,2",11,€29.50m,€952k,2010
351,FC Midtjylland,/fc-midtjylland/startseite/verein/865/saison_id/2010,"22,2",9,€22.60m,€685k,2010
352,Aalborg BK,/aalborg-bk/startseite/verein/1053/saison_id/2010,"23,2",10,€16.65m,€490k,2010
353,Nordsjaelland,/fc-nordsjaelland/startseite/verein/2778/saison_id/2010,"21,8",9,€14.53m,€393k,2010
354,SönderjyskE,/sonderjyske/startseite/verein/5817/saison_id/2010,"24,1",10,€11.00m,€407k,2010
355,FC Copenhagen,/fc-kopenhagen/startseite/verein/190/saison_id/2011,"24,8",14,€42.08m,€1.45m,2011
356,Bröndby IF,/brondby-if/startseite/verein/206/saison_id/2011,"23,0",10,€29.10m,€808k,2011
357,Odense BK,/odense-boldklub/startseite/verein/173/saison_id/2011,"24,9",11,€23.23m,€829k,2011
358,FC Midtjylland,/fc-midtjylland/startseite/verein/865/saison_id/2011,"22,4",11,€19.13m,€580k,2011
359,Nordsjaelland,/fc-nordsjaelland/startseite/verein/2778/saison_id/2011,"22,1",7,€13.80m,€406k,2011
360,Aalborg BK,/aalborg-bk/startseite/verein/1053/saison_id/2011,"23,8",6,€10.45m,€387k,2011
361,SönderjyskE,/sonderjyske/startseite/verein/5817/saison_id/2011,"24,8",7,€8.65m,€376k,2011
362,FC Copenhagen,/fc-kopenhagen/startseite/verein/190/saison_id/2012,"24,5",13,€34.30m,€1.14m,2012
363,Bröndby IF,/brondby-if/startseite/verein/206/saison_id/2012,"22,7",8,€21.45m,€715k,2012
364,Odense BK,/odense-boldklub/startseite/verein/173/saison_id/2012,"24,8",12,€18.95m,€677k,2012
365,Nordsjaelland,/fc-nordsjaelland/startseite/verein/2778/saison_id/2012,"22,4",14,€16.93m,€394k,2012
366,FC Midtjylland,/fc-midtjylland/startseite/verein/865/saison_id/2012,"22,4",13,€15.20m,€461k,2012
367,SönderjyskE,/sonderjyske/startseite/verein/5817/saison_id/2012,"25,4",11,€13.65m,€414k,2012
368,Aalborg BK,/aalborg-bk/startseite/verein/1053/saison_id/2012,"22,5",3,€9.60m,€356k,2012
369,FC Copenhagen,/fc-kopenhagen/startseite/verein/190/saison_id/2013,"24,7",14,€30.70m,€1.10m,2013
370,Bröndby IF,/brondby-if/startseite/verein/206/saison_id/2013,"22,6",13,€18.30m,€555k,2013
371,Nordsjaelland,/fc-nordsjaelland/startseite/verein/2778/saison_id/2013,"22,7",9,€16.25m,€428k,2013
372,FC Midtjylland,/fc-midtjylland/startseite/verein/865/saison_id/2013,"23,1",14,€14.15m,€372k,2013
373,Odense BK,/odense-boldklub/startseite/verein/173/saison_id/2013,"23,4",12,€13.48m,€421k,2013
374,Aalborg BK,/aalborg-bk/startseite/verein/1053/saison_id/2013,"22,9",4,€10.13m,€349k,2013
375,SönderjyskE,/sonderjyske/startseite/verein/5817/saison_id/2013,"24,0",9,€8.55m,€251k,2013
376,Bröndby IF,/brondby-if/startseite/verein/206/saison_id/2014,"22,7",14,€38.00m,€1.19m,2014
377,FC Copenhagen,/fc-kopenhagen/startseite/verein/190/saison_id/2014,"24,3",18,€35.55m,€988k,2014
378,FC Midtjylland,/fc-midtjylland/startseite/verein/865/saison_id/2014,"24,2",14,€16.25m,€508k,2014
379,Odense BK,/odense-boldklub/startseite/verein/173/saison_id/2014,"23,9",9,€15.00m,€455k,2014
380,Nordsjaelland,/fc-nordsjaelland/startseite/verein/2778/saison_id/2014,"22,8",10,€12.75m,€411k,2014
381,Aalborg BK,/aalborg-bk/startseite/verein/1053/saison_id/2014,"22,8",5,€11.03m,€356k,2014
382,SönderjyskE,/sonderjyske/startseite/verein/5817/saison_id/2014,"24,9",10,€8.33m,€260k,2014
383,FC Copenhagen,/fc-kopenhagen/startseite/verein/190/saison_id/2015,"23,7",14,€27.65m,€838k,2015
384,Bröndby IF,/brondby-if/startseite/verein/206/saison_id/2015,"23,6",12,€26.08m,€705k,2015
385,FC Midtjylland,/fc-midtjylland/startseite/verein/865/saison_id/2015,"23,6",23,€25.70m,€584k,2015
386,Odense BK,/odense-boldklub/startseite/verein/173/saison_id/2015,"23,7",12,€17.25m,€507k,2015
387,Aalborg BK,/aalborg-bk/startseite/verein/1053/saison_id/2015,"23,2",7,€11.30m,€377k,2015
388,Nordsjaelland,/fc-nordsjaelland/startseite/verein/2778/saison_id/2015,"21,0",15,€9.05m,€259k,2015
389,SönderjyskE,/sonderjyske/startseite/verein/5817/saison_id/2015,"24,4",9,€8.13m,€262k,2015
390,IFK Göteborg,/ifk-goteborg/startseite/verein/801/saison_id/2010,"22,4",6,€25.02m,€736k,2010
391,Elfsborg,/if-elfsborg-boras/startseite/verein/1101/saison_id/2010,"26,3",4,€20.18m,€611k,2010
392,Malmö FF,/malmo-ff/startseite/verein/496/saison_id/2010,"22,1",13,€17.00m,€567k,2010
393,AIK,/aik-stockholm/startseite/verein/272/saison_id/2010,"23,2",15,€13.83m,€419k,2010
394,Kalmar FF,/kalmar-ff/startseite/verein/3654/saison_id/2010,"24,0",13,€13.00m,€371k,2010
395,Helsingborg,/helsingborgs-if/startseite/verein/699/saison_id/2010,"23,5",10,€12.38m,€375k,2010
396,Djurgarden,/djurgardens-if/startseite/verein/1044/saison_id/2010,"21,9",18,€12.10m,€346k,2010
397,Häcken,/bk-hacken/startseite/verein/1109/saison_id/2010,"24,4",9,€8.38m,€310k,2010
398,Gefle,/gefle-if/startseite/verein/4414/saison_id/2010,"24,1",7,€8.30m,€277k,2010
399,Norrköping,/ifk-norrkoping/startseite/verein/2844/saison_id/2010,"23,0",14,€5.43m,€170k,2010
400,Malmö FF,/malmo-ff/startseite/verein/496/saison_id/2011,"22,0",15,€24.33m,€579k,2011
401,Helsingborg,/helsingborgs-if/startseite/verein/699/saison_id/2011,"23,7",14,€21.18m,€557k,2011
402,IFK Göteborg,/ifk-goteborg/startseite/verein/801/saison_id/2011,"23,6",5,€21.00m,€778k,2011
403,Elfsborg,/if-elfsborg-boras/startseite/verein/1101/saison_id/2011,"25,5",7,€19.70m,€547k,2011
404,AIK,/aik-stockholm/startseite/verein/272/saison_id/2011,"23,1",12,€15.53m,€518k,2011
405,Häcken,/bk-hacken/startseite/verein/1109/saison_id/2011,"25,2",13,€14.60m,€417k,2011
406,Djurgarden,/djurgardens-if/startseite/verein/1044/saison_id/2011,"23,1",16,€14.18m,€417k,2011
407,Kalmar FF,/kalmar-ff/startseite/verein/3654/saison_id/2011,"22,8",11,€9.10m,€364k,2011
408,Norrköping,/ifk-norrkoping/startseite/verein/2844/saison_id/2011,"23,5",14,€6.48m,€249k,2011
409,Gefle,/gefle-if/startseite/verein/4414/saison_id/2011,"23,2",3,€4.88m,€188k,2011
410,Malmö FF,/malmo-ff/startseite/verein/496/saison_id/2012,"21,2",9,€19.55m,€575k,2012
411,Elfsborg,/if-elfsborg-boras/startseite/verein/1101/saison_id/2012,"24,4",10,€18.98m,€499k,2012
412,Helsingborg,/helsingborgs-if/startseite/verein/699/saison_id/2012,"24,1",15,€18.43m,€472k,2012
413,IFK Göteborg,/ifk-goteborg/startseite/verein/801/saison_id/2012,"23,9",7,€18.20m,€628k,2012
414,AIK,/aik-stockholm/startseite/verein/272/saison_id/2012,"23,5",15,€15.88m,€418k,2012
415,Häcken,/bk-hacken/startseite/verein/1109/saison_id/2012,"23,9",13,€12.93m,€417k,2012
416,Kalmar FF,/kalmar-ff/startseite/verein/3654/saison_id/2012,"23,3",15,€11.08m,€346k,2012
417,Norrköping,/ifk-norrkoping/startseite/verein/2844/saison_id/2012,"23,5",14,€8.18m,€273k,2012
418,Djurgarden,/djurgardens-if/startseite/verein/1044/saison_id/2012,"23,2",13,€7.83m,€252k,2012
419,Gefle,/gefle-if/startseite/verein/4414/saison_id/2012,"23,8",5,€5.65m,€209k,2012
420,IFK Göteborg,/ifk-goteborg/startseite/verein/801/saison_id/2013,"25,2",8,€18.70m,€748k,2013
421,Malmö FF,/malmo-ff/startseite/verein/496/saison_id/2013,"22,6",6,€16.83m,€601k,2013
422,Elfsborg,/if-elfsborg-boras/startseite/verein/1101/saison_id/2013,"25,6",8,€15.43m,€498k,2013
423,Häcken,/bk-hacken/startseite/verein/1109/saison_id/2013,"25,5",9,€13.25m,€530k,2013
424,AIK,/aik-stockholm/startseite/verein/272/saison_id/2013,"23,8",8,€7.82m,€411k,2013
425,Djurgarden,/djurgardens-if/startseite/verein/1044/saison_id/2013,"24,0",8,€7.30m,€304k,2013
426,Helsingborg,/helsingborgs-if/startseite/verein/699/saison_id/2013,"22,9",7,€6.95m,€331k,2013
427,Gefle,/gefle-if/startseite/verein/4414/saison_id/2013,"24,8",7,€6.40m,€221k,2013
428,Kalmar FF,/kalmar-ff/startseite/verein/3654/saison_id/2013,"23,6",7,€6.08m,€338k,2013
429,Norrköping,/ifk-norrkoping/startseite/verein/2844/saison_id/2013,"23,8",10,€5.95m,€238k,2013
430,Malmö FF,/malmo-ff/startseite/verein/496/saison_id/2014,"22,4",10,€21.03m,€584k,2014
431,Kalmar FF,/kalmar-ff/startseite/verein/3654/saison_id/2014,"24,0",6,€20.88m,€803k,2014
432,IFK Göteborg,/ifk-goteborg/startseite/verein/801/saison_id/2014,"25,1",13,€20.25m,€614k,2014
433,AIK,/aik-stockholm/startseite/verein/272/saison_id/2014,"24,5",18,€13.50m,€409k,2014
434,Helsingborg,/helsingborgs-if/startseite/verein/699/saison_id/2014,"23,1",8,€10.48m,€388k,2014
435,Elfsborg,/if-elfsborg-boras/startseite/verein/1101/saison_id/2014,"24,6",6,€9.70m,€334k,2014
436,Häcken,/bk-hacken/startseite/verein/1109/saison_id/2014,"24,4",10,€8.98m,€309k,2014
437,Norrköping,/ifk-norrkoping/startseite/verein/2844/saison_id/2014,"25,0",5,€7.60m,€292k,2014
438,Djurgarden,/djurgardens-if/startseite/verein/1044/saison_id/2014,"24,0",7,€6.65m,€302k,2014
439,Gefle,/gefle-if/startseite/verein/4414/saison_id/2014,"23,2",5,€3.70m,€142k,2014
440,Malmö FF,/malmo-ff/startseite/verein/496/saison_id/2015,"23,5",13,€23.08m,€744k,2015
441,IFK Göteborg,/ifk-goteborg/startseite/verein/801/saison_id/2015,"24,8",12,€18.97m,€632k,2015
442,Kalmar FF,/kalmar-ff/startseite/verein/3654/saison_id/2015,"23,3",6,€14.45m,€482k,2015
443,Helsingborg,/helsingborgs-if/startseite/verein/699/saison_id/2015,"25,3",10,€13.45m,€396k,2015
444,Elfsborg,/if-elfsborg-boras/startseite/verein/1101/saison_id/2015,"24,7",9,€13.13m,€410k,2015
445,AIK,/aik-stockholm/startseite/verein/272/saison_id/2015,"23,9",15,€12.80m,€356k,2015
446,Djurgarden,/djurgardens-if/startseite/verein/1044/saison_id/2015,"23,5",12,€10.93m,€364k,2015
447,Norrköping,/ifk-norrkoping/startseite/verein/2844/saison_id/2015,"22,9",8,€10.18m,€328k,2015
448,Häcken,/bk-hacken/startseite/verein/1109/saison_id/2015,"24,3",14,€9.38m,€302k,2015
449,Gefle,/gefle-if/startseite/verein/4414/saison_id/2015,"23,7",9,€5.98m,€187k,2015
450,Celtic,/celtic-glasgow/startseite/verein/371/saison_id/2010,"23,5",31,€65.45m,€1.56m,2010
451,Aberdeen FC,/aberdeen-fc/startseite/verein/370/saison_id/2010,"22,1",16,€18.70m,€479k,2010
452,Dundee United,/dundee-united-fc/startseite/verein/1519/saison_id/2010,"23,3",13,€15.08m,€503k,2010
453,St. Johnstone,/st-johnstone-fc/startseite/verein/2578/saison_id/2010,"24,2",14,€11.48m,€319k,2010
454,Motherwell FC,/motherwell-fc/startseite/verein/987/saison_id/2010,"22,4",15,€9.68m,€293k,2010
455,Kilmarnock FC,/kilmarnock-fc/startseite/verein/2553/saison_id/2010,"22,7",24,€9.08m,€245k,2010
456,Inverness Cal.,/inverness-caledonian-thistle-fc/startseite/verein/2451/saison_id/2010,"24,2",12,€7.23m,€258k,2010
457,Celtic,/celtic-glasgow/startseite/verein/371/saison_id/2011,"22,9",32,€61.85m,€1.34m,2011
458,Aberdeen FC,/aberdeen-fc/startseite/verein/370/saison_id/2011,"23,6",14,€15.98m,€456k,2011
459,St. Johnstone,/st-johnstone-fc/startseite/verein/2578/saison_id/2011,"25,3",11,€15.03m,€455k,2011
460,Dundee United,/dundee-united-fc/startseite/verein/1519/saison_id/2011,"23,2",12,€14.95m,€482k,2011
461,Kilmarnock FC,/kilmarnock-fc/startseite/verein/2553/saison_id/2011,"23,6",25,€10.03m,€278k,2011
462,Motherwell FC,/motherwell-fc/startseite/verein/987/saison_id/2011,"23,0",14,€8.90m,€330k,2011
463,Inverness Cal.,/inverness-caledonian-thistle-fc/startseite/verein/2451/saison_id/2011,"22,5",20,€6.78m,€194k,2011
464,Celtic,/celtic-glasgow/startseite/verein/371/saison_id/2012,"22,2",29,€58.78m,€1.37m,2012
465,St. Johnstone,/st-johnstone-fc/startseite/verein/2578/saison_id/2012,"25,0",10,€10.93m,€364k,2012
466,Kilmarnock FC,/kilmarnock-fc/startseite/verein/2553/saison_id/2012,"22,8",22,€10.68m,€267k,2012
467,Aberdeen FC,/aberdeen-fc/startseite/verein/370/saison_id/2012,"23,5",11,€9.85m,€308k,2012
468,Motherwell FC,/motherwell-fc/startseite/verein/987/saison_id/2012,"23,6",14,€8.95m,€358k,2012
469,Dundee United,/dundee-united-fc/startseite/verein/1519/saison_id/2012,"23,4",12,€7.68m,€265k,2012
470,Inverness Cal.,/inverness-caledonian-thistle-fc/startseite/verein/2451/saison_id/2012,"22,4",18,€4.38m,€156k,2012
471,Celtic,/celtic-glasgow/startseite/verein/371/saison_id/2013,"22,5",27,€65.88m,€1.61m,2013
472,Aberdeen FC,/aberdeen-fc/startseite/verein/370/saison_id/2013,"24,3",13,€10.53m,€351k,2013
473,St. Johnstone,/st-johnstone-fc/startseite/verein/2578/saison_id/2013,"25,9",12,€10.20m,€309k,2013
474,Kilmarnock FC,/kilmarnock-fc/startseite/verein/2553/saison_id/2013,"24,1",20,€9.03m,€244k,2013
