Country|Year|Team|Link|Value|Difference|Age|AbroadPlayers
Austria|2009|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2009|€22.03m|€759k|24,2|7
Austria|2009|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2009|€21.25m|€708k|24,1|9
Austria|2009|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2009|€16.00m|€516k|23,9|7
Austria|2010|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2010|€47.83m|€1.37m|24,3|23
Austria|2010|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2010|€26.23m|€846k|24,2|8
Austria|2010|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2010|€23.58m|€813k|24,1|9
Austria|2010|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2010|€12.88m|€477k|25,6|7
Austria|2011|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2011|€36.28m|€1.10m|24,7|22
Austria|2011|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2011|€22.00m|€710k|23,6|7
Austria|2011|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2011|€16.53m|€636k|25,0|6
Austria|2011|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2011|€15.45m|€483k|25,4|8
Austria|2012|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2012|€38.40m|€1.16m|24,0|21
Austria|2012|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2012|€19.23m|€663k|23,6|8
Austria|2012|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2012|€16.00m|€471k|22,4|7
Austria|2012|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2012|€13.75m|€430k|23,9|6
Austria|2013|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2013|€41.55m|€1.19m|22,8|22
Austria|2013|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2013|€22.95m|€656k|23,5|8
Austria|2013|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2013|€15.60m|€557k|22,6|8
Austria|2013|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2013|€13.38m|€446k|24,2|8
Austria|2014|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2014|€67.55m|€1.99m|22,1|24
Austria|2014|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2014|€25.10m|€697k|23,2|9
Austria|2014|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2014|€16.00m|€593k|22,3|7
Austria|2014|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2014|€14.25m|€407k|23,1|12
Austria|2015|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2015|€50.15m|€1.36m|21,6|27
Austria|2015|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2015|€21.50m|€632k|22,8|10
Austria|2015|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2015|€16.85m|€544k|23,4|11
Austria|2015|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2015|€16.75m|€508k|23,1|11
Austria|2016|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2016|€57.65m|€1.31m|22,1|32
Austria|2016|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2016|€24.53m|€663k|23,0|11
Austria|2016|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2016|€19.15m|€618k|22,8|13
Austria|2016|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2016|€13.45m|€420k|23,2|8
Austria|2017|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2017|€45.70m|€1.24m|21,9|26
Austria|2017|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2017|€25.15m|€662k|23,4|14
Austria|2017|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2017|€23.60m|€674k|22,9|10
Austria|2017|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2017|€18.15m|€519k|22,9|7
Austria|2018|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2018|€117.15m|€2.86m|22,2|31
Austria|2018|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2018|€33.20m|€897k|22,7|11
Austria|2018|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2018|€25.00m|€735k|23,1|11
Austria|2018|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2018|€24.45m|€764k|23,3|7
Czech Republic|2009|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2009|€28.58m|€840k|23,6|9
Czech Republic|2009|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2009|€27.09m|€602k|24,1|15
Czech Republic|2009|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2009|€14.73m|€491k|24,8|7
Czech Republic|2009|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2009|€12.63m|€407k|24,2|6
Czech Republic|2009|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2009|€12.00m|€375k|23,7|8
Czech Republic|2009|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2009|€10.48m|€419k|24,4|3
Czech Republic|2009|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2009|€9.73m|€335k|23,8|4
Czech Republic|2009|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2009|€7.30m|€215k|24,6|6
Czech Republic|2010|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2010|€27.73m|€770k|24,6|10
Czech Republic|2010|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2010|€15.60m|€422k|24,1|9
Czech Republic|2010|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2010|€13.10m|€437k|24,0|5
Czech Republic|2010|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2010|€12.85m|€378k|24,7|5
Czech Republic|2010|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2010|€12.03m|€364k|23,9|10
Czech Republic|2010|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2010|€11.15m|€384k|24,7|7
Czech Republic|2010|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2010|€10.63m|€409k|24,8|3
Czech Republic|2010|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2010|€5.33m|€184k|23,5|5
Czech Republic|2011|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2011|€25.58m|€710k|25,1|6
Czech Republic|2011|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2011|€16.45m|€548k|26,0|5
Czech Republic|2011|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2011|€12.15m|€392k|25,0|4
Czech Republic|2011|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2011|€11.15m|€372k|23,8|7
Czech Republic|2011|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2011|€9.90m|€275k|22,9|7
Czech Republic|2011|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2011|€9.28m|€371k|25,0|6
Czech Republic|2011|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2011|€8.98m|€345k|23,7|3
Czech Republic|2011|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2011|€4.63m|€149k|24,0|4
Czech Republic|2012|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2012|€26.28m|€796k|23,8|7
Czech Republic|2012|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2012|€18.31m|€610k|24,9|6
Czech Republic|2012|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2012|€14.70m|€408k|25,6|7
Czech Republic|2012|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2012|€12.68m|€352k|24,5|13
Czech Republic|2012|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2012|€11.28m|€364k|24,9|9
Czech Republic|2012|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2012|€11.23m|€387k|24,8|8
Czech Republic|2012|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2012|€10.70m|€412k|24,7|3
Czech Republic|2012|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2012|€6.78m|€205k|24,0|5
Czech Republic|2013|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2013|€33.65m|€841k|23,8|6
Czech Republic|2013|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2013|€28.93m|€723k|25,4|7
Czech Republic|2013|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2013|€15.60m|€371k|24,6|13
Czech Republic|2013|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2013|€13.08m|€319k|25,4|3
Czech Republic|2013|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2013|€11.65m|€333k|24,4|3
Czech Republic|2013|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2013|€11.30m|€290k|23,1|15
Czech Republic|2013|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2013|€10.43m|€298k|24,4|11
Czech Republic|2013|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2013|€7.45m|€219k|24,6|4
Czech Republic|2014|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2014|€34.10m|€1.03m|25,3|8
Czech Republic|2014|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2014|€25.78m|€955k|27,0|6
Czech Republic|2014|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2014|€13.13m|€423k|24,7|6
Czech Republic|2014|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2014|€12.28m|€323k|24,2|13
Czech Republic|2014|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2014|€12.20m|€330k|23,8|18
Czech Republic|2014|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2014|€11.05m|€345k|23,8|11
Czech Republic|2014|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2014|€9.73m|€304k|24,4|9
Czech Republic|2014|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2014|€5.70m|€158k|23,3|6
Czech Republic|2015|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2015|€32.73m|€935k|25,4|7
Czech Republic|2015|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2015|€24.75m|€798k|26,8|5
Czech Republic|2015|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2015|€13.80m|€383k|23,8|6
Czech Republic|2015|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2015|€13.60m|€358k|24,5|7
Czech Republic|2015|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2015|€12.85m|€338k|23,2|13
Czech Republic|2015|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2015|€12.70m|€454k|24,3|6
Czech Republic|2015|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2015|€9.38m|€260k|24,9|13
Czech Republic|2015|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2015|€5.40m|€169k|23,7|7
Czech Republic|2016|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2016|€35.43m|€644k|23,4|11
Czech Republic|2016|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2016|€28.03m|€801k|26,7|10
Czech Republic|2016|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2016|€19.40m|€539k|24,1|13
Czech Republic|2016|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2016|€12.90m|€331k|23,3|4
Czech Republic|2016|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2016|€12.43m|€276k|23,8|10
Czech Republic|2016|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2016|€11.58m|€313k|24,7|7
Czech Republic|2016|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2016|€8.65m|€240k|23,9|9
Czech Republic|2016|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2016|€6.65m|€185k|23,0|9
Czech Republic|2017|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2017|€50.63m|€1.37m|25,8|19
Czech Republic|2017|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2017|€36.80m|€1.12m|26,6|15
