StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
29.200 Seats|Georgi Asparuhov Stadium|36|€200k|Free transfer|0|€420k|€-420k
12.128 Seats|Stadion Beroe|38|Free transfer|€5k|€5k|0|+€5k
12.500 Seats|Stadion Ticha|34|Free transfer|€100k|€100k|0|+€100k
13.000 Seats|Lokomotiv|41|Free transfer|Free transfer|0|0|0
25.556 Seats|Slavia Stadium|38|Free transfer|€150k|€150k|0|+€150k
29.200 Seats|Georgi Asparuhov Stadium|54|€170k|Free transfer|0|€245k|€-245k
12.128 Seats|Stadion Beroe|52|Free transfer|Free transfer|0|0|0
12.500 Seats|Stadion Ticha|49|Free transfer|€200k|€200k|0|+€200k
13.000 Seats|Lokomotiv|45|Free transfer|€100k|€100k|0|+€100k
25.556 Seats|Slavia Stadium|39|Free transfer|Free transfer|0|0|0
29.200 Seats|Georgi Asparuhov Stadium|40|€200k|€550k|€1.59m|€300k|+€1.29m
