StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
33.130 Seats|Stadion Miejski im. Henryka Reymana|31|€650k|€80k|€115k|€1.10m|€-985k
42.771 Seats|Stadion Miejski|31|€300k|Free transfer|0|€800k|€-800k
22.432 Seats|Stadion Miejski|37|€280k|€1.90m|€2.19m|€650k|+€1.54m
43.615 Seats|Stadion Energa Gdańsk|34|€70k|€20k|€20k|€270k|€-250k
15.500 Seats|Suzuki Arena|36|€25k|€120k|€120k|€45k|+€75k
33.130 Seats|Stadion Miejski im. Henryka Reymana|33|€40k|€800k|€1.80m|€42k|+€1.76m
42.771 Seats|Stadion Miejski|34|Free transfer|Free transfer|0|0|0
30.967 Seats|Stadion Miejski im. Marszałka Józefa Piłsudskiego|33|€100k|€2.70m|€2.70m|€210k|+€2.49m
42.837 Seats|Stadion Poznań|33|€410k|€3.50m|€4.13m|€945k|+€3.18m
43.615 Seats|Stadion Energa Gdańsk|41|€100k|€500k|€500k|€110k|+€390k
15.500 Seats|Suzuki Arena|38|€10k|€13k|€13k|€13k|0
22.432 Seats|Stadion Miejski|36|€200k|€1.00m|€1.60m|€260k|+€1.34m
30.967 Seats|Stadion Miejski im. Marszałka Józefa Piłsudskiego|42|€500k|€2.65m|€5.33m|€1.64m|+€3.69m
42.837 Seats|Stadion Poznań|34|€100k|€3.20m|€3.43m|€100k|+€3.33m
42.771 Seats|Stadion Miejski|36|€26k|€1.00m|€1.00m|€26k|+€974k
33.130 Seats|Stadion Miejski im. Henryka Reymana|38|Free transfer|€150k|€180k|0|+€180k
22.432 Seats|Stadion Miejski|43|€50k|€500k|€580k|€50k|+€530k
15.500 Seats|Suzuki Arena|43|€100k|€50k|€55k|€115k|€-60k
43.615 Seats|Stadion Energa Gdańsk|39|€200k|€400k|€755k|€230k|+€525k
30.967 Seats|Stadion Miejski im. Marszałka Józefa Piłsudskiego|39|€800k|€2.25m|€5.18m|€1.61m|+€3.57m
42.837 Seats|Stadion Poznań|33|€600k|€4.00m|€4.00m|€1.60m|+€2.40m
43.615 Seats|Stadion Energa Gdańsk|40|€800k|€2.50m|€2.58m|€2.90m|€-320k
33.130 Seats|Stadion Miejski im. Henryka Reymana|32|€75k|€1.40m|€1.40m|€75k|+€1.33m
15.500 Seats|Suzuki Arena|35|Free transfer|€2k|€2k|0|+€2k
42.771 Seats|Stadion Miejski|31|€5k|€370k|€370k|€7k|+€364k
22.432 Seats|Stadion Miejski|43|€75k|€700k|€950k|€127k|+€823k
30.967 Seats|Stadion Miejski im. Marszałka Józefa Piłsudskiego|36|€800k|€1.50m|€2.75m|€2.93m|€-175k
42.837 Seats|Stadion Poznań|35|€500k|€200k|€210k|€1.70m|€-1.49m
43.615 Seats|Stadion Energa Gdańsk|37|€500k|€800k|€1.10m|€910k|+€190k
22.432 Seats|Stadion Miejski|41|€250k|€1.00m|€2.70m|€693k|+€2.01m
33.130 Seats|Stadion Miejski im. Henryka Reymana|36|€400k|€75k|€110k|€475k|€-365k
42.771 Seats|Stadion Miejski|31|Free transfer|€300k|€400k|0|+€400k
15.500 Seats|Suzuki Arena|43|Free transfer|€13k|€13k|0|+€13k
30.967 Seats|Stadion Miejski im. Marszałka Józefa Piłsudskiego|48|€1.00m|€4.20m|€14.80m|€4.32m|+€10.48m
43.615 Seats|Stadion Energa Gdańsk|40|€500k|€50k|€75k|€550k|€-475k
42.837 Seats|Stadion Poznań|39|€300k|€3.20m|€6.07m|€300k|+€5.77m
33.130 Seats|Stadion Miejski im. Henryka Reymana|37|Free transfer|€1.00m|€1.80m|0|+€1.80m
22.432 Seats|Stadion Miejski|37|€300k|€2.50m|€2.50m|€350k|+€2.15m
42.771 Seats|Stadion Miejski|31|Free transfer|Free transfer|0|0|0
15.500 Seats|Suzuki Arena|44|Free transfer|Free transfer|0|0|0
30.967 Seats|Stadion Miejski im. Marszałka Józefa Piłsudskiego|48|€750k|€2.50m|€4.95m|€3.10m|+€1.85m
43.615 Seats|Stadion Energa Gdańsk|40|Free transfer|€2.60m|€3.07m|0|+€3.07m
42.837 Seats|Stadion Poznań|34|€650k|€6.00m|€12.49m|€1.28m|+€11.21m
22.432 Seats|Stadion Miejski|37|€600k|€1.50m|€2.16m|€1.26m|+€900k
33.130 Seats|Stadion Miejski im. Henryka Reymana|40|Free transfer|€2.20m|€2.60m|0|+€2.60m
